method,window,a_diag,a_final
CNN (Static),D01,0.9683246099597151,0.9683246099597151
CNN (Static),D02,0.9523464614456013,0.9523464614456013
CNN (Static),D03,0.9553902600396976,0.9553902600396976
CNN (Static),D04,0.9555829302246392,0.9555829302246392
CNN (Static),D05,0.9539378901872899,0.9539378901872899
CNN (Static),D06,0.9545563693120422,0.9545563693120422
CNN (Static),D07,0.90972265698366,0.90972265698366
CNN (Static),D08,0.8340309636227662,0.8340309636227662
CNN (Static),D09,0.8269037716908074,0.8269037716908074
CNN (Static),D10,0.823486433529275,0.823486433529275
CNN (Static),D11,0.8224518761642864,0.8224518761642864
CNN (Static),D12,0.8259943260219232,0.8259943260219232
CNN (Static),D13,0.8394708616374688,0.8394708616374688
CNN (Static),D14,0.8367616446941379,0.8367616446941379
CNN (Static),D15,0.8321264580737148,0.8321264580737148
CNN (Static),D16,0.8342405638671591,0.8342405638671591
CNN (Static),D17,0.8333817775293461,0.8333817775293461
CNN (Static),D18,0.8342419232316011,0.8342419232316011
CNN (Static),D19,0.8334747465725897,0.8334747465725897
CNN (Static),D20,0.8337035755349906,0.8337035755349906
CNN (Static),D21,0.8330929621555145,0.8330929621555145
CNN (Static),D22,0.8360053179009932,0.8360053179009932
CNN (Static),D23,0.8358718956583884,0.8358718956583884
CNN (Static),D24,0.8348511227177358,0.8348511227177358
CNN + LoRA Update,D01,0.9683246099597151,0.9603129345618616
CNN + LoRA Update,D02,0.9523464614456013,0.9523733130126135
CNN + LoRA Update,D03,0.956449547891494,0.9581496479224432
CNN + LoRA Update,D04,0.958160671030769,0.9576021059349075
CNN + LoRA Update,D05,0.9601208882484213,0.9569295101553166
CNN + LoRA Update,D06,0.9622556345727554,0.956495780926604
CNN + LoRA Update,D07,0.9200435137340223,0.9535332141108769
CNN + LoRA Update,D08,0.9231808607876645,0.9491508431415796
CNN + LoRA Update,D09,0.9261600720295089,0.9382973235720096
CNN + LoRA Update,D10,0.9329422796831668,0.9399328958698299
CNN + LoRA Update,D11,0.9406698089804019,0.9406543768759101
CNN + LoRA Update,D12,0.9434562890454021,0.9417174274187169
CNN + LoRA Update,D13,0.9453701835787774,0.9531530267654044
CNN + LoRA Update,D14,0.950446629073307,0.9535696755386819
CNN + LoRA Update,D15,0.9517379145025969,0.9541288075891606
CNN + LoRA Update,D16,0.9528787487330326,0.9548152077099367
CNN + LoRA Update,D17,0.9467725465703041,0.9527784712167358
CNN + LoRA Update,D18,0.9493636879235032,0.9525672371638142
CNN + LoRA Update,D19,0.9497955224925259,0.9526101369972441
CNN + LoRA Update,D20,0.948657203718819,0.952652914511652
CNN + LoRA Update,D21,0.9469447129036437,0.9535848113914565
CNN + LoRA Update,D22,0.9501901973671107,0.9536829911320603
CNN + LoRA Update,D23,0.9533074708046713,0.9555308782776594
CNN + LoRA Update,D24,0.9503780014106754,0.9548429646358159
CNN + LoRA + SER,D01,0.9683246099597151,0.9602670785789028
CNN + LoRA + SER,D02,0.9523464614456013,0.951575082071904
CNN + LoRA + SER,D03,0.9575541584911704,0.9559521210076026
CNN + LoRA + SER,D04,0.9612023278603283,0.9562335007244794
CNN + LoRA + SER,D05,0.9620263262863981,0.9553900026783855
CNN + LoRA + SER,D06,0.9617214271316267,0.9551419283222328
CNN + LoRA + SER,D07,0.9203928582635162,0.9527350079023489
CNN + LoRA + SER,D08,0.9148535456011654,0.9506115003937126
CNN + LoRA + SER,D09,0.9251190755055829,0.9413947612561931
CNN + LoRA + SER,D10,0.9323380018488514,0.942240793117381
CNN + LoRA + SER,D11,0.9409814124908861,0.9415918729657757
CNN + LoRA + SER,D12,0.9446224437324473,0.9424366231848388
CNN + LoRA + SER,D13,0.9411155030331358,0.9538305226564134
CNN + LoRA + SER,D14,0.9499909513180913,0.953876798964195
CNN + LoRA + SER,D15,0.9501508000921834,0.9533083993156408
CNN + LoRA + SER,D16,0.9516930382904004,0.9550581915846016
