method,window_id,quarter_label,f1,auc
CNN (Static),D01,2018_Q1,0.9683246099597151,0.9956754489999999
CNN (Static),D02,2018_Q2,0.9523464614456013,0.9907220778
CNN (Static),D03,2018_Q3,0.9553902600396976,0.9909807650000002
CNN (Static),D04,2018_Q4,0.9555829302246392,0.9910778845999999
CNN (Static),D05,2019_Q1,0.9539378901872899,0.9908008232
CNN (Static),D06,2019_Q2,0.9545563693120422,0.9907117151999999
CNN (Static),D07,2019_Q3,0.90972265698366,0.9597082554
CNN (Static),D08,2019_Q4,0.8340309636227662,0.9098517264000001
CNN (Static),D09,2020_Q1,0.8269037716908074,0.9024507248
CNN (Static),D10,2020_Q2,0.823486433529275,0.9014955303999999
CNN (Static),D11,2020_Q3,0.8224518761642864,0.9024891998
CNN (Static),D12,2020_Q4,0.8259943260219232,0.903924543
CNN (Static),D13,2021_Q1,0.8394708616374688,0.916164243
CNN (Static),D14,2021_Q2,0.8367616446941379,0.9162220591999999
CNN (Static),D15,2021_Q3,0.8321264580737148,0.9151413751999999
CNN (Static),D16,2021_Q4,0.8342405638671591,0.9163868683999999
CNN (Static),D17,2022_Q1,0.8333817775293461,0.9111000222
CNN (Static),D18,2022_Q2,0.8342419232316011,0.911909587
CNN (Static),D19,2022_Q3,0.8334747465725897,0.9109229499999999
CNN (Static),D20,2022_Q4,0.8337035755349906,0.9118926281999999
CNN (Static),D21,2023_Q1,0.8330929621555145,0.9141391426
CNN (Static),D22,2023_Q2,0.8360053179009932,0.9168362834000001
CNN (Static),D23,2023_Q3,0.8358718956583884,0.9153702582000001
CNN (Static),D24,2023_Q4,0.8348511227177358,0.9154483116000001
CNN + LoRA Update,D01,2018_Q1,0.9683246099597151,0.9956754489999999
CNN + LoRA Update,D02,2018_Q2,0.9523464614456013,0.9907220778
CNN + LoRA Update,D03,2018_Q3,0.956449547891494,0.9915693513999999
CNN + LoRA Update,D04,2018_Q4,0.958160671030769,0.9920383498
CNN + LoRA Update,D05,2019_Q1,0.9601208882484213,0.9926861058
CNN + LoRA Update,D06,2019_Q2,0.9622556345727554,0.993207874
CNN + LoRA Update,D07,2019_Q3,0.9200435137340223,0.9525108457999999
CNN + LoRA Update,D08,2019_Q4,0.9231808607876645,0.9793167551999998
CNN + LoRA Update,D09,2020_Q1,0.9261600720295089,0.9798573638000001
CNN + LoRA Update,D10,2020_Q2,0.9329422796831668,0.9820952438
CNN + LoRA Update,D11,2020_Q3,0.9406698089804019,0.9853222565999998
CNN + LoRA Update,D12,2020_Q4,0.9434562890454021,0.9863572578000002
CNN + LoRA Update,D13,2021_Q1,0.9453701835787774,0.9884149459999999
CNN + LoRA Update,D14,2021_Q2,0.950446629073307,0.9894836533999999
CNN + LoRA Update,D15,2021_Q3,0.9517379145025969,0.9900258638000001
CNN + LoRA Update,D16,2021_Q4,0.9528787487330326,0.9905190371999999
CNN + LoRA Update,D17,2022_Q1,0.9467725465703041,0.9874387995999999
CNN + LoRA Update,D18,2022_Q2,0.9493636879235032,0.9888961118
CNN + LoRA Update,D19,2022_Q3,0.9497955224925259,0.9887248786
CNN + LoRA Update,D20,2022_Q4,0.948657203718819,0.9889419696
CNN + LoRA Update,D21,2023_Q1,0.9469447129036437,0.9886576189999999
CNN + LoRA Update,D22,2023_Q2,0.9501901973671107,0.9897987757999999
CNN + LoRA Update,D23,2023_Q3,0.9533074708046713,0.9903827512000001
CNN + LoRA Update,D24,2023_Q4,0.9503780014106754,0.9896428436
CNN + LoRA + SER,D01,2018_Q1,0.9683246099597151,0.9956754489999999
CNN + LoRA + SER,D02,2018_Q2,0.9523464614456013,0.9907220778
CNN + LoRA + SER,D03,2018_Q3,0.9575541584911704,0.9916493056000001
CNN + LoRA + SER,D04,2018_Q4,0.9612023278603283,0.9926001036000002
CNN + LoRA + SER,D05,2019_Q1,0.9620263262863981,0.9931381915999999
CNN + LoRA + SER,D06,2019_Q2,0.9617214271316267,0.9933565938
CNN + LoRA + SER,D07,2019_Q3,0.9203928582635162,0.9506689709999999
CNN + LoRA + SER,D08,2019_Q4,0.9148535456011654,0.9810934312000001
CNN + LoRA + SER,D09,2020_Q1,0.9251190755055829,0.9801766235999999
CNN + LoRA + SER,D10,2020_Q2,0.9323380018488514,0.9823457568
CNN + LoRA + SER,D11,2020_Q3,0.9409814124908861,0.9860870102
CNN + LoRA + SER,D12,2020_Q4,0.9446224437324473,0.9868554234000001
CNN + LoRA + SER,D13,2021_Q1,0.9411155030331358,0.988114522
CNN + LoRA + SER,D14,2021_Q2,0.9499909513180913,0.9892290494000001
CNN + LoRA + SER,D15,2021_Q3,0.9501508000921834,0.9895188905999999
CNN + LoRA + SER,D16,2021_Q4,0.9516930382904004,0.9901311926
CNN + LoRA + SER,D17,2022_Q1,0.9449394787682845,0.9864504437999999
CNN + LoRA + SER,D18,2022_Q2,0.9481798289238114,0.9883803485999999
CNN + LoRA + SER,D19,2022_Q3,0.9501959811461176,0.9883940212
CNN + LoRA + SER,D20,2022_Q4,0.9470544810276096,0.9879568806000001
CNN + LoRA + SER,D21,2023_Q1,0.9474432098521779,0.9881659897999999
CNN + LoRA + SER,D22,2023_Q2,0.9484195330778038,0.9890141379999999
CNN + LoRA + SER,D23,2023_Q3,0.9509578620959568,0.9899247728000001
CNN + LoRA + SER,D24,2023_Q4,0.9496276563540594,0.989830802
CNN + LoRA + SER + EWC,D01,2018_Q1,0.9683246099597151,0.9956754489999999
CNN + LoRA + SER + EWC,D02,2018_Q2,0.9523464614456013,0.9907220778
CNN + LoRA + SER + EWC,D03,2018_Q3,0.9563375757819087,0.9914719296000001
CNN + LoRA + SER + EWC,D04,2018_Q4,0.9585014985014985,0.9920496856000002
CNN + LoRA + SER + EWC,D05,2019_Q1,0.9589659252722569,0.9924475656
CNN + LoRA + SER + EWC,D06,2019_Q2,0.9617270267301721,0.9929508178
CNN + LoRA + SER + EWC,D07,2019_Q3,0.9192164548648395,0.9383643664
CNN + LoRA + SER + EWC,D08,2019_Q4,0.9230239854265763,0.980471252
CNN + LoRA + SER + EWC,D09,2020_Q1,0.9259501576161304,0.9800124522
CNN + LoRA + SER + EWC,D10,2020_Q2,0.9322417278859819,0.9820530994
CNN + LoRA + SER + EWC,D11,2020_Q3,0.9402024102140533,0.9857763904
CNN + LoRA + SER + EWC,D12,2020_Q4,0.9423904899855152,0.9867564947999999
CNN + LoRA + SER + EWC,D13,2021_Q1,0.9481509607410146,0.9890449903999998
CNN + LoRA + SER + EWC,D14,2021_Q2,0.9503446757846502,0.9893281033999999
CNN + LoRA + SER + EWC,D15,2021_Q3,0.9508444869343531,0.9899586596000001
CNN + LoRA + SER + EWC,D16,2021_Q4,0.9528675310760806,0.9904424693999998
CNN + LoRA + SER + EWC,D17,2022_Q1,0.9453645160335763,0.9867418931999999
CNN + LoRA + SER + EWC,D18,2022_Q2,0.9493936008936408,0.9886463682
CNN + LoRA + SER + EWC,D19,2022_Q3,0.9487661878739013,0.9885912915999998
CNN + LoRA + SER + EWC,D20,2022_Q4,0.9433127739003409,0.9885221097999999
CNN + LoRA + SER + EWC,D21,2023_Q1,0.9515765878456135,0.9895920451999999
CNN + LoRA + SER + EWC,D22,2023_Q2,0.9516661544105254,0.9900820999999997
CNN + LoRA + SER + EWC,D23,2023_Q3,0.9524081946677451,0.9905393414
CNN + LoRA + SER + EWC,D24,2023_Q4,0.9498283418915041,0.9891921295999999
DRC-CL (full),D01,2018_Q1,0.9683246099597151,0.9956754489999999
DRC-CL (full),D02,2018_Q2,0.9523464614456013,0.9907220778
DRC-CL (full),D03,2018_Q3,0.9553902600396976,0.9909807650000002
DRC-CL (full),D04,2018_Q4,0.9555829302246392,0.9910778845999999
DRC-CL (full),D05,2019_Q1,0.9539378901872899,0.9908008232
DRC-CL (full),D06,2019_Q2,0.9545563693120422,0.9907117151999999
DRC-CL (full),D07,2019_Q3,0.90972265698366,0.9597082554
DRC-CL (full),D08,2019_Q4,0.9303807551378047,0.9814441078
DRC-CL (full),D09,2020_Q1,0.9207046744963833,0.9775949368000001
DRC-CL (full),D10,2020_Q2,0.9233744501337715,0.9776103893999998
DRC-CL (full),D11,2020_Q3,0.9328810609282133,0.9826911416
DRC-CL (full),D12,2020_Q4,0.935443866141963,0.9840464574
DRC-CL (full),D13,2021_Q1,0.9425121643539377,0.9867240270000001
DRC-CL (full),D14,2021_Q2,0.9461747292708094,0.9879505546
DRC-CL (full),D15,2021_Q3,0.9472715214744574,0.9884257
DRC-CL (full),D16,2021_Q4,0.9501567585917686,0.9889940324000001
DRC-CL (full),D17,2022_Q1,0.9423521589409232,0.9856202753999999
DRC-CL (full),D18,2022_Q2,0.9452297344082299,0.9873860608000001
DRC-CL (full),D19,2022_Q3,0.9453975966509722,0.9875365868000001
DRC-CL (full),D20,2022_Q4,0.9470073267699751,0.9882388195999999
DRC-CL (full),D21,2023_Q1,0.9477690970487741,0.9883169938
DRC-CL (full),D22,2023_Q2,0.945059404835584,0.9887403095999999
DRC-CL (full),D23,2023_Q3,0.9506843319805841,0.9891746875999999
DRC-CL (full),D24,2023_Q4,0.94975078529881,0.9892200301999999
