window_id,quarter_label,f1,auc,drift_type,mmd2,updated,update_loss,update_time_s,elapsed_s,method
D02,2018_Q2,0.9523464614456012,0.9907220778,none,0.000379456278168,False,0.0,0.0,7.78001856803894,DRC-CL
D03,2018_Q3,0.9553902600396976,0.9909807650000002,none,0.0005967658902795,False,0.0,0.0,8.032337665557861,DRC-CL
D04,2018_Q4,0.9555829302246392,0.9910778846,none,0.0001549766101747,False,0.0,0.0,8.179368734359741,DRC-CL
D05,2019_Q1,0.95393789018729,0.9908008232,none,0.000101473459432,False,0.0,0.0,8.116999864578247,DRC-CL
D06,2019_Q2,0.9545563693120422,0.9907117152,none,0.0004316931512631,False,0.0,0.0,8.16982650756836,DRC-CL
D07,2019_Q3,0.90972265698366,0.9597082554,recurring,0.0013647685561253,True,0.1934568136930465,9.41267156600952,17.678988933563232,DRC-CL
D08,2019_Q4,0.9266080928582944,0.980831293,recurring,0.0447014828140014,True,0.1449852585792541,8.319026708602905,16.599052906036377,DRC-CL
D09,2020_Q1,0.9211053809477474,0.9772314722,recurring,0.0317792109406711,True,0.1974944472312927,8.431828737258911,17.043869972229004,DRC-CL
D10,2020_Q2,0.9239499652256302,0.978598889,recurring,0.0184875755318558,True,0.2239053100347519,8.686269760131836,18.16943955421448,DRC-CL
D11,2020_Q3,0.9331486793945988,0.983028539,recurring,0.0127062898254983,True,0.1846897900104522,8.57990574836731,18.599327087402344,DRC-CL
D12,2020_Q4,0.9388221727373948,0.9847569588,recurring,0.0089538455418606,True,0.1561347246170044,8.756068229675293,19.11603045463562,DRC-CL
D13,2021_Q1,0.9454520213789206,0.9872874836,sudden,0.0111577193940736,True,0.1098858192563057,8.784329414367676,19.6771252155304,DRC-CL
D14,2021_Q2,0.9473642489100278,0.9882346324,recurring,0.0161753682118089,True,0.1411839574575424,8.818883657455444,23.79881381988525,DRC-CL
D15,2021_Q3,0.9479752753783977,0.988809266,recurring,0.0071435108860005,True,0.1226658672094345,8.7617347240448,23.730509519577023,DRC-CL
D16,2021_Q4,0.9499750772604924,0.9891172356,recurring,0.0077966429966588,True,0.3064982891082763,8.983495235443115,17.272647380828857,DRC-CL
D17,2022_Q1,0.9425011259570636,0.9856677064,recurring,0.0125988544346017,True,0.1948176473379135,8.555541515350342,17.190374851226807,DRC-CL
D18,2022_Q2,0.944249020374212,0.9868463398,recurring,0.0171066216376901,True,0.163812980055809,8.83536434173584,17.095691442489624,DRC-CL
D19,2022_Q3,0.9447960900568864,0.9866099074,recurring,0.0108906058819202,True,0.1358358412981033,8.703738927841187,17.210077047348022,DRC-CL
D20,2022_Q4,0.9447320219797722,0.9867543022,recurring,0.01056037186579,True,0.1417630463838577,8.832346677780151,17.297464609146118,DRC-CL
D21,2023_Q1,0.9442328698373336,0.9867276232,recurring,0.0102492954974093,True,0.2271977365016937,8.866212368011475,17.336318254470825,DRC-CL
D22,2023_Q2,0.9436773876108328,0.9872901356,recurring,0.0153674018343545,True,0.0415435582399368,8.738437414169312,17.138041019439697,DRC-CL
D23,2023_Q3,0.9447383891828336,0.9873620626,recurring,0.0133640620818371,True,0.5948809385299683,8.7421293258667,16.89896845817566,DRC-CL
D24,2023_Q4,0.9437553569845226,0.9865593366,recurring,0.007649384943417,True,0.2317720800638198,8.739408016204834,16.897061824798584,DRC-CL
D01,2018_Q1,0.9683246099597151,0.9956754489999999,,,,,,,Static-CNN
D02,2018_Q2,0.9523464614456013,0.9907220778,,,,,,,Static-CNN
D03,2018_Q3,0.9553902600396976,0.9909807650000002,,,,,,,Static-CNN
D04,2018_Q4,0.9555829302246392,0.9910778845999999,,,,,,,Static-CNN
D05,2019_Q1,0.9539378901872899,0.9908008232,,,,,,,Static-CNN
D06,2019_Q2,0.9545563693120422,0.9907117151999999,,,,,,,Static-CNN
D07,2019_Q3,0.90972265698366,0.9597082554,,,,,,,Static-CNN
D08,2019_Q4,0.8340309636227662,0.9098517264000001,,,,,,,Static-CNN
D09,2020_Q1,0.8269037716908074,0.9024507248,,,,,,,Static-CNN
D10,2020_Q2,0.823486433529275,0.9014955303999999,,,,,,,Static-CNN
D11,2020_Q3,0.8224518761642864,0.9024891998,,,,,,,Static-CNN
D12,2020_Q4,0.8259943260219232,0.903924543,,,,,,,Static-CNN
D13,2021_Q1,0.8394708616374688,0.916164243,,,,,,,Static-CNN
D14,2021_Q2,0.8367616446941379,0.9162220591999999,,,,,,,Static-CNN
D15,2021_Q3,0.8321264580737148,0.9151413751999999,,,,,,,Static-CNN
D16,2021_Q4,0.8342405638671591,0.9163868683999999,,,,,,,Static-CNN
D17,2022_Q1,0.8333817775293461,0.9111000222,,,,,,,Static-CNN
D18,2022_Q2,0.8342419232316011,0.911909587,,,,,,,Static-CNN
D19,2022_Q3,0.8334747465725897,0.9109229499999999,,,,,,,Static-CNN
D20,2022_Q4,0.8337035755349906,0.9118926281999999,,,,,,,Static-CNN
D21,2023_Q1,0.8330929621555145,0.9141391426,,,,,,,Static-CNN
D22,2023_Q2,0.8360053179009932,0.9168362834000001,,,,,,,Static-CNN
D23,2023_Q3,0.8358718956583884,0.9153702582000001,,,,,,,Static-CNN
D24,2023_Q4,0.8348511227177358,0.9154483116000001,,,,,,,Static-CNN
D01,2018_Q1,0.9683246099597151,0.9956754489999999,,,,,,0.7103579044342041,SW-Retrain
D02,2018_Q2,0.9523464614456013,0.9907220778,,,,,,9.747448444366455,SW-Retrain
D03,2018_Q3,0.9617486338797814,0.9931461219999999,,,,,,8.774133443832397,SW-Retrain
D04,2018_Q4,0.9635912329538032,0.9937766476,,,,,,8.664400815963745,SW-Retrain
D05,2019_Q1,0.963400447427293,0.9936588761999999,,,,,,8.725104331970215,SW-Retrain
D06,2019_Q2,0.9621704241497898,0.9936136196000002,,,,,,8.768293619155884,SW-Retrain
D07,2019_Q3,0.9177464028963557,0.9410177623999999,,,,,,8.67963433265686,SW-Retrain
D08,2019_Q4,0.9395156015737415,0.9864986601999999,,,,,,8.607400894165039,SW-Retrain
D09,2020_Q1,0.9332880258252796,0.9833353828000001,,,,,,8.660123109817505,SW-Retrain
D10,2020_Q2,0.9388118356449306,0.9847888142000001,,,,,,8.654165506362915,SW-Retrain
D11,2020_Q3,0.9428846655562022,0.9874426084,,,,,,8.764714241027832,SW-Retrain
D12,2020_Q4,0.9365976750233557,0.9870366232000001,,,,,,8.588919401168823,SW-Retrain
D13,2021_Q1,0.9447947601806274,0.9894217654,,,,,,8.727823495864868,SW-Retrain
D14,2021_Q2,0.9464633354964309,0.9893958093999999,,,,,,8.959140300750732,SW-Retrain
D15,2021_Q3,0.9502743956411417,0.989970572,,,,,,8.838435888290405,SW-Retrain
D16,2021_Q4,0.9502058342689437,0.9903128406,,,,,,8.790804386138916,SW-Retrain
D17,2022_Q1,0.9460494875491222,0.9866156669999999,,,,,,8.890361070632935,SW-Retrain
D18,2022_Q2,0.9505864142406382,0.9896540578000002,,,,,,8.866266965866089,SW-Retrain
D19,2022_Q3,0.9483005258598111,0.9886500208,,,,,,8.85662317276001,SW-Retrain
D20,2022_Q4,0.9490146825752819,0.9886984605999999,,,,,,8.81493353843689,SW-Retrain
D21,2023_Q1,0.9492454061752081,0.9892610444000002,,,,,,8.893125772476196,SW-Retrain
D22,2023_Q2,0.9482605177993527,0.9897730008000001,,,,,,8.77714991569519,SW-Retrain
D23,2023_Q3,0.9514931710777408,0.9901398533999999,,,,,,8.93119478225708,SW-Retrain
D24,2023_Q4,0.9494921468562652,0.9896677805999999,,,,,,8.91788935661316,SW-Retrain
D01,2018_Q1,0.9683246099597151,0.9956754489999999,,,,,,0.7721655368804932,EWC-only
D02,2018_Q2,0.9523464614456013,0.9907220778,,,,,,11.176867008209229,EWC-only
D03,2018_Q3,0.9596932065735712,0.9928187408000001,,,,,,11.264163255691528,EWC-only
D04,2018_Q4,0.9666223243439351,0.9946669667999999,,,,,,11.303919553756714,EWC-only
D05,2019_Q1,0.9676725437767636,0.9948331068000003,,,,,,11.293818473815918,EWC-only
D06,2019_Q2,0.9652214565928817,0.9954268187999998,,,,,,11.454016208648682,EWC-only
D07,2019_Q3,0.9214534699482413,0.9280217252,,,,,,11.282509803771973,EWC-only
D08,2019_Q4,0.9472586442565686,0.9894859756,,,,,,11.156087875366211,EWC-only
D09,2020_Q1,0.9439872312833558,0.9880366773999999,,,,,,11.273562908172607,EWC-only
D10,2020_Q2,0.9424650815869869,0.9868151572000001,,,,,,11.201768159866333,EWC-only
D11,2020_Q3,0.9522241173126311,0.991357259,,,,,,11.220956802368164,EWC-only
D12,2020_Q4,0.9573315239303379,0.9921989477999998,,,,,,11.329869508743286,EWC-only
D13,2021_Q1,0.9582695601933974,0.9933644228,,,,,,11.10978651046753,EWC-only
D14,2021_Q2,0.9617463155449155,0.9938241639999998,,,,,,11.311248779296875,EWC-only
D15,2021_Q3,0.9660508637236085,0.9943842936,,,,,,11.302576780319214,EWC-only
D16,2021_Q4,0.9630500197566387,0.9944173392,,,,,,11.230191946029663,EWC-only
D17,2022_Q1,0.9573408883942123,0.9927261750000002,,,,,,11.283890962600708,EWC-only
D18,2022_Q2,0.9643308677862839,0.9940328235999999,,,,,,11.248814821243286,EWC-only
D19,2022_Q3,0.9634481174931858,0.9937331556000001,,,,,,11.128925323486328,EWC-only
D20,2022_Q4,0.9644724547207698,0.9940951571999999,,,,,,11.172078371047974,EWC-only
D21,2023_Q1,0.9634056619936909,0.9943542839999999,,,,,,11.232710599899292,EWC-only
D22,2023_Q2,0.9657184098153606,0.994772417,,,,,,11.066199541091919,EWC-only
D23,2023_Q3,0.967396974439228,0.9949012724,,,,,,11.168524742126465,EWC-only
D24,2023_Q4,0.965896744597803,0.9949428575999998,,,,,,11.02208423614502,EWC-only
D01,2018_Q1,0.9683246099597151,0.9956754489999999,,,,,,0.7204282283782959,iCaRL
D02,2018_Q2,0.9523464614456013,0.9907220778,,,,,,10.546315908432007,iCaRL
D03,2018_Q3,0.9549010953737511,0.99076472,,,,,,10.469590663909912,iCaRL
D04,2018_Q4,0.9560881454077529,0.9911652043999999,,,,,,10.389133214950562,iCaRL
D05,2019_Q1,0.9545037182035577,0.9914043546,,,,,,10.427349090576172,iCaRL
D06,2019_Q2,0.9579229541278877,0.9920366522,,,,,,10.466643571853638,iCaRL
D07,2019_Q3,0.9166413747632155,0.9586860718000001,,,,,,10.421420335769653,iCaRL
D08,2019_Q4,0.8482740165908482,0.9540390904,,,,,,10.413980484008789,iCaRL
D09,2020_Q1,0.8565857696832382,0.9718879018000001,,,,,,10.817601203918457,iCaRL
D10,2020_Q2,0.8967988128047488,0.9800764922000001,,,,,,10.743604183197021,iCaRL
D11,2020_Q3,0.9415096637973038,0.9847065152000001,,,,,,10.531087875366211,iCaRL
D12,2020_Q4,0.9515341315315133,0.987228885,,,,,,10.674912929534912,iCaRL
D13,2021_Q1,0.9576149935565049,0.9916651360000001,,,,,,10.669763803482056,iCaRL
D14,2021_Q2,0.9625912226332101,0.9914005652,,,,,,10.926547050476074,iCaRL
D15,2021_Q3,0.9628385471341592,0.9921135056000001,,,,,,10.423698902130127,iCaRL
D16,2021_Q4,0.9641532508670984,0.992826536,,,,,,10.455139636993408,iCaRL
D17,2022_Q1,0.9605232935537025,0.9913326296,,,,,,10.498115062713623,iCaRL
D18,2022_Q2,0.9615579210523705,0.9920390058000002,,,,,,10.628196477890015,iCaRL
D19,2022_Q3,0.9617859696512274,0.9918826222,,,,,,10.844643354415894,iCaRL
D20,2022_Q4,0.9627124008466362,0.9926335976,,,,,,10.37276029586792,iCaRL
D21,2023_Q1,0.9639391112787028,0.9928826346,,,,,,10.41264295578003,iCaRL
D22,2023_Q2,0.9648986425880524,0.9932749047999999,,,,,,10.3809494972229,iCaRL
D23,2023_Q3,0.9656083604863706,0.9938127179999999,,,,,,10.448096752166748,iCaRL
D24,2023_Q4,0.9652402439629097,0.9936391204000001,,,,,,10.442123889923096,iCaRL
D01,2018_Q1,0.9683246099597151,0.9956754489999999,,,,,,0.722851037979126,GDumb
D02,2018_Q2,0.9523464614456013,0.9907220778,,,,,,1.158402442932129,GDumb
D03,2018_Q3,0.9536681472272076,0.9907768815999999,,,,,,1.1703286170959473,GDumb
D04,2018_Q4,0.9554307228614056,0.9911697133999999,,,,,,1.1652166843414307,GDumb
D05,2019_Q1,0.953837031180511,0.9909135262,,,,,,1.1445205211639404,GDumb
D06,2019_Q2,0.9538185475124722,0.9910946378000001,,,,,,1.1409268379211426,GDumb
D07,2019_Q3,0.9117720258835241,0.9585239884000001,,,,,,1.2132647037506104,GDumb
D08,2019_Q4,0.8870498958960863,0.973169333,,,,,,1.15043306350708,GDumb
D09,2020_Q1,0.895249009592871,0.9635117885999999,,,,,,1.1145758628845215,GDumb
D10,2020_Q2,0.8945974084878723,0.9687881754000001,,,,,,1.1130523681640625,GDumb
D11,2020_Q3,0.9040658836666733,0.9710020979999999,,,,,,1.110011339187622,GDumb
D12,2020_Q4,0.910266950621564,0.9725006638,,,,,,1.1715645790100098,GDumb
D13,2021_Q1,0.9138884046229734,0.9794423118,,,,,,1.2481629848480225,GDumb
D14,2021_Q2,0.9227569159038155,0.9800437938,,,,,,1.1544499397277832,GDumb
D15,2021_Q3,0.9225009586469959,0.9799310958,,,,,,1.154470443725586,GDumb
D16,2021_Q4,0.9206847332030815,0.9800667535999998,,,,,,1.1548962593078613,GDumb
D17,2022_Q1,0.912395418731216,0.9749611467999999,,,,,,1.178222894668579,GDumb
D18,2022_Q2,0.9130723426855549,0.9773503997999998,,,,,,1.1108603477478027,GDumb
D19,2022_Q3,0.9207598265272081,0.9765765459999999,,,,,,1.114438772201538,GDumb
D20,2022_Q4,0.9203248134719684,0.9766019802000001,,,,,,1.133080005645752,GDumb
D21,2023_Q1,0.9164376791538994,0.9758368102,,,,,,1.254042625427246,GDumb
D22,2023_Q2,0.9201184927559676,0.978193213,,,,,,1.158653974533081,GDumb
D23,2023_Q3,0.9208718479999195,0.9784099564000001,,,,,,1.1449170112609863,GDumb
D24,2023_Q4,0.9226085938414705,0.9779995206000001,,,,,,1.1406331062316895,GDumb
