method,window_id,quarter_label,f1,auc,elapsed_s
EWC-only,D01,2018_Q1,0.9683246099597151,0.9956754489999999,0.7721655368804932
EWC-only,D02,2018_Q2,0.9523464614456013,0.9907220778,11.176867008209229
EWC-only,D03,2018_Q3,0.9596932065735712,0.9928187408000001,11.264163255691528
EWC-only,D04,2018_Q4,0.9666223243439351,0.9946669667999999,11.303919553756714
EWC-only,D05,2019_Q1,0.9676725437767636,0.9948331068000003,11.293818473815918
EWC-only,D06,2019_Q2,0.9652214565928817,0.9954268187999998,11.454016208648682
EWC-only,D07,2019_Q3,0.9214534699482413,0.9280217252,11.282509803771973
EWC-only,D08,2019_Q4,0.9472586442565686,0.9894859756,11.156087875366211
EWC-only,D09,2020_Q1,0.9439872312833558,0.9880366773999999,11.273562908172607
EWC-only,D10,2020_Q2,0.9424650815869869,0.9868151572000001,11.201768159866333
EWC-only,D11,2020_Q3,0.9522241173126311,0.991357259,11.220956802368164
EWC-only,D12,2020_Q4,0.9573315239303379,0.9921989477999998,11.329869508743286
EWC-only,D13,2021_Q1,0.9582695601933974,0.9933644228,11.10978651046753
EWC-only,D14,2021_Q2,0.9617463155449155,0.9938241639999998,11.311248779296875
EWC-only,D15,2021_Q3,0.9660508637236085,0.9943842936,11.302576780319214
EWC-only,D16,2021_Q4,0.9630500197566387,0.9944173392,11.230191946029663
EWC-only,D17,2022_Q1,0.9573408883942123,0.9927261750000002,11.283890962600708
EWC-only,D18,2022_Q2,0.9643308677862839,0.9940328235999999,11.248814821243286
EWC-only,D19,2022_Q3,0.9634481174931858,0.9937331556000001,11.128925323486328
EWC-only,D20,2022_Q4,0.9644724547207698,0.9940951571999999,11.172078371047974
EWC-only,D21,2023_Q1,0.9634056619936909,0.9943542839999999,11.232710599899292
EWC-only,D22,2023_Q2,0.9657184098153606,0.994772417,11.066199541091919
EWC-only,D23,2023_Q3,0.967396974439228,0.9949012724,11.168524742126465
EWC-only,D24,2023_Q4,0.965896744597803,0.9949428575999998,11.02208423614502
