method,window_id,quarter_label,f1,auc,elapsed_s
GDumb,D01,2018_Q1,0.9683246099597151,0.9956754489999999,0.722851037979126
GDumb,D02,2018_Q2,0.9523464614456013,0.9907220778,1.158402442932129
GDumb,D03,2018_Q3,0.9536681472272076,0.9907768815999999,1.1703286170959473
GDumb,D04,2018_Q4,0.9554307228614056,0.9911697133999999,1.1652166843414307
GDumb,D05,2019_Q1,0.953837031180511,0.9909135262,1.1445205211639404
GDumb,D06,2019_Q2,0.9538185475124722,0.9910946378000001,1.1409268379211426
GDumb,D07,2019_Q3,0.9117720258835241,0.9585239884000001,1.2132647037506104
GDumb,D08,2019_Q4,0.8870498958960863,0.973169333,1.15043306350708
GDumb,D09,2020_Q1,0.895249009592871,0.9635117885999999,1.1145758628845215
GDumb,D10,2020_Q2,0.8945974084878723,0.9687881754000001,1.1130523681640625
GDumb,D11,2020_Q3,0.9040658836666733,0.9710020979999999,1.110011339187622
GDumb,D12,2020_Q4,0.910266950621564,0.9725006638,1.1715645790100098
GDumb,D13,2021_Q1,0.9138884046229734,0.9794423118,1.2481629848480225
GDumb,D14,2021_Q2,0.9227569159038155,0.9800437938,1.1544499397277832
GDumb,D15,2021_Q3,0.9225009586469959,0.9799310958,1.154470443725586
GDumb,D16,2021_Q4,0.9206847332030815,0.9800667535999998,1.1548962593078613
GDumb,D17,2022_Q1,0.912395418731216,0.9749611467999999,1.178222894668579
GDumb,D18,2022_Q2,0.9130723426855549,0.9773503997999998,1.1108603477478027
GDumb,D19,2022_Q3,0.9207598265272081,0.9765765459999999,1.114438772201538
GDumb,D20,2022_Q4,0.9203248134719684,0.9766019802000001,1.133080005645752
GDumb,D21,2023_Q1,0.9164376791538994,0.9758368102,1.254042625427246
GDumb,D22,2023_Q2,0.9201184927559676,0.978193213,1.158653974533081
GDumb,D23,2023_Q3,0.9208718479999195,0.9784099564000001,1.1449170112609863
GDumb,D24,2023_Q4,0.9226085938414705,0.9779995206000001,1.1406331062316895
