method,window_id,quarter_label,f1,auc,elapsed_s
SW-Retrain,D01,2018_Q1,0.9683246099597151,0.9956754489999999,0.7103579044342041
SW-Retrain,D02,2018_Q2,0.9523464614456013,0.9907220778,9.747448444366455
SW-Retrain,D03,2018_Q3,0.9617486338797814,0.9931461219999999,8.774133443832397
SW-Retrain,D04,2018_Q4,0.9635912329538032,0.9937766476,8.664400815963745
SW-Retrain,D05,2019_Q1,0.963400447427293,0.9936588761999999,8.725104331970215
SW-Retrain,D06,2019_Q2,0.9621704241497898,0.9936136196000002,8.768293619155884
SW-Retrain,D07,2019_Q3,0.9177464028963557,0.9410177623999999,8.67963433265686
SW-Retrain,D08,2019_Q4,0.9395156015737415,0.9864986601999999,8.607400894165039
SW-Retrain,D09,2020_Q1,0.9332880258252796,0.9833353828000001,8.660123109817505
SW-Retrain,D10,2020_Q2,0.9388118356449306,0.9847888142000001,8.654165506362915
SW-Retrain,D11,2020_Q3,0.9428846655562022,0.9874426084,8.764714241027832
SW-Retrain,D12,2020_Q4,0.9365976750233557,0.9870366232000001,8.588919401168823
SW-Retrain,D13,2021_Q1,0.9447947601806274,0.9894217654,8.727823495864868
SW-Retrain,D14,2021_Q2,0.9464633354964309,0.9893958093999999,8.959140300750732
SW-Retrain,D15,2021_Q3,0.9502743956411417,0.989970572,8.838435888290405
SW-Retrain,D16,2021_Q4,0.9502058342689437,0.9903128406,8.790804386138916
SW-Retrain,D17,2022_Q1,0.9460494875491222,0.9866156669999999,8.890361070632935
SW-Retrain,D18,2022_Q2,0.9505864142406382,0.9896540578000002,8.866266965866089
SW-Retrain,D19,2022_Q3,0.9483005258598111,0.9886500208,8.85662317276001
SW-Retrain,D20,2022_Q4,0.9490146825752819,0.9886984605999999,8.81493353843689
SW-Retrain,D21,2023_Q1,0.9492454061752081,0.9892610444000002,8.893125772476196
SW-Retrain,D22,2023_Q2,0.9482605177993527,0.9897730008000001,8.77714991569519
SW-Retrain,D23,2023_Q3,0.9514931710777408,0.9901398533999999,8.93119478225708
SW-Retrain,D24,2023_Q4,0.9494921468562652,0.9896677805999999,8.91788935661316
