,D01_test,D02_test,D03_test,D04_test,D05_test,D06_test,D07_test,D08_test,D09_test,D10_test,D11_test,D12_test,D13_test,D14_test,D15_test,D16_test,D17_test,D18_test,D19_test,D20_test,D21_test,D22_test,D23_test,D24_test
T1,0.9617263031994419,,,,,,,,,,,,,,,,,,,,,,,
T2,0.9649732089700337,0.9523571713943269,,,,,,,,,,,,,,,,,,,,,,
T3,0.9650620347394541,0.9531710730171423,0.9582189387510608,,,,,,,,,,,,,,,,,,,,,
T4,0.9641788066254241,0.9538538789856892,0.9595021829678326,0.9581627558662007,,,,,,,,,,,,,,,,,,,,
T5,0.9653306613226453,0.9546394873606135,0.9604679306171844,0.9605223505775992,0.9572968073320576,,,,,,,,,,,,,,,,,,,
T6,0.9661313722547401,0.9567671067217576,0.9614088050314465,0.9617792916896258,0.960008038585209,0.9614767255216693,,,,,,,,,,,,,,,,,,
T7,0.9533012851957225,0.9482444477273847,0.950679687883398,0.951454412124175,0.9484667385127853,0.9504378883507021,0.9382972411747256,,,,,,,,,,,,,,,,,
T8,0.9518312101910829,0.946325846630984,0.9482207117153139,0.948231319554849,0.9482035928143713,0.9480280499328592,0.942529885459911,0.9307928827057815,,,,,,,,,,,,,,,,
T9,0.9449922418539466,0.9397286528471277,0.9420282568253808,0.9438450343754705,0.9443858327053504,0.9418914168047813,0.941040694465352,0.9344881413968478,0.9291267492601696,,,,,,,,,,,,,,,
T10,0.9468956667653736,0.942824499528091,0.9447743467933492,0.9480134413915794,0.9460823110407598,0.9449995053912356,0.9423152903990517,0.9418748454118229,0.9340421342784012,0.9363622982189294,,,,,,,,,,,,,,
T11,0.9510167284383452,0.9452158545821763,0.9485720042310986,0.9518888275723675,0.9504572404783439,0.9497616060225847,0.944427695708974,0.9409510362563663,0.9349614006761189,0.9372489959839357,0.9386955866847416,,,,,,,,,,,,,
T12,0.9494531480934082,0.9468148442151221,0.950093697603314,0.9518262586377098,0.94997533300444,0.9490138067061143,0.9456752356046776,0.9449790278805823,0.9368421052631579,0.9397767332549941,0.9398762157382847,0.9432868095144485,,,,,,,,,,,,
T13,0.9580293794343959,0.9513421131999598,0.9569881692400241,0.9562397085973754,0.9557646116893515,0.9561745033443146,0.9497189883580891,0.9415922055631278,0.9315606587097749,0.9350428206540792,0.9351703406813627,0.9369794279979929,0.9464077473001065,,,,,,,,,,,
T14,0.9545364304149295,0.9502596883739513,0.9546313799621928,0.956223942823109,0.954233409610984,0.9532598987793987,0.9493463240045732,0.9463929852530889,0.9330434352917922,0.9360149857044266,0.9352581789515175,0.9376760737409183,0.9494019318352435,0.9496949694969496,,,,,,,,,,
T15,0.9523099109851311,0.9479427370107117,0.9513265509674845,0.9528025065897449,0.9510893952236127,0.9516891387631226,0.947011952191235,0.9441148611595792,0.9292092151349218,0.9314853042367051,0.9314207113381804,0.9340621460580095,0.9493664546501728,0.9504801920768308,0.9528377298161471,,,,,,,,,
T16,0.9506289464525431,0.948883225903163,0.9505711008030325,0.9536028643890795,0.9505256339993025,0.9514572764348951,0.9479337610025361,0.9460118425635667,0.9306696845938099,0.9333595053489057,0.9316654402747118,0.9362455726092089,0.9500374344896432,0.9496532109176189,0.9537203271494116,0.9531647463713901,,,,,,,,
T17,0.955451174289246,0.9514485911643393,0.9558153358430751,0.9568701157384509,0.9541674915858246,0.9541547277936963,0.9496260339788994,0.946077457795432,0.9314812996956906,0.9333333333333333,0.9322498531427452,0.9355234126011277,0.9507575757575758,0.9504782781984854,0.9543010752688172,0.9529593309771517,0.9481246593667938,,,,,,,
T18,0.9482940555750967,0.9449583017437453,0.9468642871546683,0.9498818679937666,0.9478348439073515,0.9476329279324556,0.9447377683914114,0.9419647355163728,0.9288531629137751,0.9338505918631255,0.9328688728539438,0.9356317257871662,0.9474851325471223,0.9467527228721259,0.9504282115869017,0.9485990727675871,0.9461600160417084,0.9456538132823891,,,,,,
T19,0.9562971791815653,0.952276357827476,0.9547378379724145,0.9570619222741278,0.954601959126846,0.9548816200923215,0.9498157920939958,0.9465008242169939,0.9325353645266594,0.9357906667323708,0.9341087181509043,0.9383932971907344,0.950265185629941,0.9495201919232307,0.9532476623831192,0.9532710280373832,0.948684734954165,0.9492760858711932,0.9476145465399731,,,,,
T20,0.9567919799498746,0.9525872927898423,0.9569459812896087,0.9570275284560998,0.9559458103361766,0.9561948676824379,0.9493601003764115,0.9441891004596191,0.9304282494365139,0.9342992755433425,0.9342978298827638,0.9367227688158618,0.9486854769261942,0.9483107424640906,0.9509640200394717,0.9503567633216943,0.9489271683288002,0.9479593384918829,0.9475383373688459,0.9472460838807478,,,,
T21,0.9526688804083858,0.9494112951506686,0.9515808311791608,0.953920936461485,0.950596421471173,0.9507042253521126,0.9482150836601956,0.9468037550290568,0.9333661417322835,0.9349147226034111,0.9353097084519486,0.9370183103431349,0.9508850660683121,0.9509291087530514,0.9548168789808917,0.9515856446962919,0.9479533614487721,0.9496824136562128,0.9496581111881875,0.949748993488742,0.9495710814697278,,,
T22,0.9566471114646515,0.9518663064144901,0.956292050834787,0.9566125982684844,0.9547378379724145,0.9550991994430909,0.9506123668226626,0.9474209816747391,0.9332476265822784,0.936184891341842,0.9347397476340694,0.9367076118593064,0.9519515005761812,0.9511804721888756,0.9557875805565269,0.9526573916524872,0.9504288848992619,0.9508327914770169,0.9501171076892411,0.9502497502497502,0.9514776357827476,0.9491643801446745,,
