,D01_test,D02_test,D03_test,D04_test,D05_test,D06_test,D07_test,D08_test,D09_test,D10_test,D11_test,D12_test,D13_test,D14_test,D15_test,D16_test,D17_test,D18_test,D19_test,D20_test,D21_test,D22_test,D23_test,D24_test
T1,0.9617263031994419,,,,,,,,,,,,,,,,,,,,,,,
T2,0.9646487183301106,0.9520623189853191,,,,,,,,,,,,,,,,,,,,,,
T3,0.9643710191082803,0.9518561194328942,0.957135703555333,,,,,,,,,,,,,,,,,,,,,
T4,0.964736395830216,0.9534895389092368,0.9593822084043727,0.9589725650892009,,,,,,,,,,,,,,,,,,,,
T5,0.9657451923076923,0.9556933313171027,0.9603346605513835,0.9604412133366759,0.9589137540859944,,,,,,,,,,,,,,,,,,,
T6,0.9670592932721102,0.957489472628835,0.964053269250025,0.9640933572710951,0.9615499850194746,0.9624225464721168,,,,,,,,,,,,,,,,,,
T7,0.9544180557604366,0.9496665843418128,0.9514477053377979,0.9524089883230301,0.950314836678473,0.9514696501300358,0.938852491562438,,,,,,,,,,,,,,,,,
T8,0.9486685440442666,0.9447016076850331,0.9454148471615721,0.9485505095478381,0.9467831612390787,0.9463834843309075,0.9420455108819592,0.938255634608687,,,,,,,,,,,,,,,,
T9,0.9478837025316456,0.9437496886054506,0.9452000397101161,0.9484587174150064,0.9463603433731951,0.9455681142177276,0.9441941074523397,0.9416029397159599,0.9352560620277545,,,,,,,,,,,,,,,
T10,0.95134812456472,0.946883604505632,0.9488883337496877,0.9519485055635947,0.9486769845232151,0.949511075633606,0.9462301290676235,0.9429558771973757,0.9373220796084503,0.9401420694451343,,,,,,,,,,,,,,
T11,0.9482912332838038,0.9438179822373016,0.94590970049173,0.9501017824338415,0.9462194879936495,0.9479481962983178,0.9451192305785534,0.9444582319948379,0.9390400791687283,0.9406316204365177,0.9407988939910137,,,,,,,,,,,,,
T12,0.9535129690254344,0.9477793551003854,0.951177600323461,0.9535856473315527,0.9511542152851442,0.9523329129886507,0.9471505729140377,0.9423350253807107,0.9378048780487804,0.9410932605840153,0.9389139126474012,0.9428991234736789,,,,,,,,,,,,
T13,0.9516669954626159,0.9472166998011928,0.9495009388279474,0.9531952750457174,0.9489800958166642,0.9501556093464407,0.9478200828565793,0.945317907643627,0.9350815164014928,0.9381397854728902,0.937892464678179,0.9417828391910466,0.9489087301587301,,,,,,,,,,,
T14,0.9516836023112174,0.9476479134311908,0.9494485752782075,0.9530261519302615,0.9497084184817823,0.9507298360982415,0.9451522994226558,0.9455107433072436,0.9344229816740961,0.9375493291239148,0.9354456618300266,0.9397745253164557,0.948880989335603,0.9480162105368489,,,,,,,,,,
T15,0.9563623755510426,0.9512000796733393,0.9545522129156961,0.9578900489880746,0.9536830633576063,0.9540377582287239,0.951238850346878,0.9457094561002287,0.932657280693118,0.9376778879183433,0.9343280651811132,0.9397140470692281,0.9513400209612217,0.951044776119403,0.9555400835488362,,,,,,,,,
T16,0.9559942320123316,0.9516379094773694,0.9548534981064382,0.9579606440071556,0.9542828685258964,0.9551438080572252,0.951271713702653,0.9465168539325842,0.9320993764228447,0.9357734806629834,0.934180707458863,0.9378949447077409,0.951526392300366,0.9523761830837798,0.9556088782243551,0.9532383095773943,,,,,,,,
T17,0.9548143361336183,0.9491288502820628,0.9534292972057579,0.9552401746724891,0.9522435578549399,0.952896212835658,0.9494859186410372,0.9446910378534736,0.9318103149878851,0.9358873350403781,0.9334054692110958,0.9359416576327979,0.950445490039043,0.9508196721311475,0.954929718373268,0.9531125299281724,0.9475044740505071,,,,,,,
T18,0.9596284034194792,0.9532126023319276,0.9581993569131833,0.96071076011846,0.9561052683553054,0.9563245588090309,0.9516320474777448,0.9457864193244383,0.9348738458499976,0.9393984148082509,0.9378875873609607,0.9423939289410141,0.952755905511811,0.9500274027203428,0.955509107196178,0.953547423450336,0.9487737341772152,0.9492771623031447,,,,,,
T19,0.9561709333598964,0.9502203525641025,0.9552075019952115,0.9573747634697739,0.953866082104424,0.9546969018847282,0.9493942264546044,0.9473789515806322,0.9321302860542363,0.9363025873987755,0.9356494275562574,0.9389127961616461,0.9526532249974923,0.9508262393590385,0.9553388347086772,0.9536152114085564,0.9499800717417298,0.9487141073657928,0.947945205479452,,,,,
T20,0.9540920144920343,0.9502916687440793,0.9539715677502734,0.9562974353886602,0.9530101331213988,0.953079324183719,0.9497045826920213,0.9475515784240617,0.9346977112066834,0.9385221674876847,0.9370870722808402,0.9428317535545023,0.9518385291766587,0.9497334728241917,0.9540900254224615,0.9529587270014918,0.9503672821123684,0.9510774896730204,0.9474935605310085,0.9491981273035163,,,,
T21,0.9560559468306715,0.9506498680344604,0.9555070016883503,0.957078350617774,0.9529662486990137,0.9535793906366113,0.9497073703005654,0.9436465190504688,0.9337501860949828,0.9356991054218357,0.936543319958389,0.9400939896116745,0.9481592787377912,0.948094809480948,0.9524618845288678,0.9488883337496877,0.947525639749079,0.9480189384500374,0.9460803820135296,0.9476421463219483,0.9492605686401434,,,
T22,0.954895817793028,0.9513718826528063,0.9549594386104614,0.9554317548746518,0.9523525315826121,0.9538934934736215,0.9497935015176394,0.9475625560761639,0.9339137316976652,0.9349345408012599,0.9335499113998819,0.9387916152897657,0.9526716029617771,0.9505296821906856,0.9540011973657953,0.9519398376413168,0.9488441461595823,0.9494597420704078,0.9474154625353791,0.9502789956157832,0.9505098234270082,0.9491845664280032,,
T23,0.958519844822441,0.9522097378277153,0.9571371610845295,0.9581326049168115,0.9548438432464691,0.9549155908639523,0.951499776152813,0.9484556658849359,0.9362504340923749,0.9387331256490135,0.9381667325167918,0.9430251519493996,0.9531672170519364,0.9531719031418852,0.9572034956304619,0.9542457542457542,0.9516369788038611,0.951540532455878,0.9499428344186509,0.9523476872411556,0.9519589784437696,0.9523477914842817,0.9561416579744698,
T24,0.9581677265500795,0.9522620593228802,0.9578502114953968,0.9576178660049628,0.9550355244199334,0.9558918382535351,0.9515295987286452,0.9484494964602652,0.9374938088162457,0.9399181822662527,0.9393864545768907,0.9426330587480886,0.9530664267506372,0.953383908963865,0.9572034956304619,0.9541760159561207,0.9533147521401553,0.95307290370739,0.9509336511720302,0.9517206982543641,0.9526986656044613,0.9518317840632301,0.9577268888778501,0.9533889882727092
