,D01_test,D02_test,D03_test,D04_test,D05_test,D06_test,D07_test,D08_test,D09_test,D10_test,D11_test,D12_test,D13_test,D14_test,D15_test,D16_test,D17_test,D18_test,D19_test,D20_test,D21_test,D22_test,D23_test,D24_test
T1,0.9617263031994419,,,,,,,,,,,,,,,,,,,,,,,
T2,0.9636901825357671,0.9518652824002781,,,,,,,,,,,,,,,,,,,,,,
T3,0.964181322764429,0.9529083108849645,0.9581942299068215,,,,,,,,,,,,,,,,,,,,,
T4,0.964250149372635,0.9540696218382169,0.959114139693356,0.958943697060289,,,,,,,,,,,,,,,,,,,,
T5,0.966035108657815,0.954956756486527,0.9605756258432019,0.9606487239440824,0.9576875155743833,,,,,,,,,,,,,,,,,,,
T6,0.9667996011964107,0.9575727181544634,0.9617639689300927,0.962723014053623,0.960071960421768,0.96167491130765,,,,,,,,,,,,,,,,,,
T7,0.953747849594495,0.9472800868792576,0.9499163632785594,0.9506511309115833,0.9488111613283553,0.9505845367914333,0.9343268753104819,,,,,,,,,,,,,,,,,
T8,0.9492063492063492,0.944982526210684,0.948065528058557,0.9500024824983864,0.9482063784267875,0.9488797257687913,0.943030423543448,0.9362340585146287,,,,,,,,,,,,,,,,
T9,0.9506129944904949,0.9461784713885554,0.9466486999051754,0.9497267759562842,0.9482492404243662,0.9486413854882054,0.9436479490242932,0.9387836689820599,0.933644813360505,,,,,,,,,,,,,,,
T10,0.9461089785133855,0.9423193074290316,0.9426336375488917,0.9480259870064968,0.9449899799599198,0.9457054294570543,0.9428357089272318,0.9399509190163771,0.9348509809794818,0.9368688124968907,,,,,,,,,,,,,,
T11,0.9490775649726034,0.9428470003549876,0.9456862546778598,0.9498739283913262,0.9469486648831458,0.9473259334006054,0.9436150897720396,0.9385814024081757,0.934682519605363,0.9390182441286161,0.9368123549005754,,,,,,,,,,,,,
T12,0.9515950488074871,0.946126582278481,0.948921335825797,0.9524625699450522,0.9482288828337875,0.9504411394000504,0.9461259079903148,0.9395830162836707,0.9350978602575803,0.9388888888888889,0.937970780041454,0.9421629539829267,,,,,,,,,,,,
T13,0.9526688804083858,0.9493032316068128,0.9524283439490446,0.9545747902497146,0.9521062316606157,0.9520265912586199,0.9486657059086617,0.9449335920011939,0.9349750284329723,0.9380792743048708,0.9364617735495637,0.939885307494562,0.9492203118752499,,,,,,,,,,,
T14,0.9500424215201877,0.946422294752699,0.950230322451432,0.952813701502971,0.9496849054716415,0.9511355128525081,0.9457542457542457,0.9441111777644471,0.93263220557595,0.9365699312799723,0.9338867477023421,0.9381749727533935,0.9485622522206052,0.947980354816077,,,,,,,,,,
T15,0.949438202247191,0.9469873543268039,0.9483141630053809,0.9533494594461174,0.9493502001284776,0.948567483603728,0.9463968410661402,0.9430798066489099,0.9287454917633298,0.9326591141148441,0.9316854807318022,0.9354319964913991,0.9482502230593833,0.948019801980198,0.9517821782178217,,,,,,,,,
T16,0.9526732673267326,0.9500199123855038,0.9523099850968704,0.9559792027729636,0.9529768111624212,0.9527960770716727,0.9490332176499752,0.9445988880063543,0.9302165692677896,0.9345602271058685,0.9318237514091064,0.9364315189624681,0.950281753353613,0.9495442546197141,0.9539227895392279,0.953266381624739,,,,,,,,
T17,0.9484699697465655,0.9451569439592794,0.9474678196908702,0.9516329472585375,0.9483736198149806,0.9476242436266243,0.946626284692915,0.9430319916413752,0.929937558385368,0.9334249129176274,0.9333071407523819,0.9368943977177709,0.947977455234675,0.9454038719952222,0.950169423958541,0.9488709837859346,0.9444114149821641,,,,,,,
T18,0.9495949594959496,0.9466063348416289,0.9491763056431826,0.9521667416404258,0.9496092967341214,0.949987509367974,0.946899554576848,0.9428815004262575,0.9302510564255531,0.9342190056015466,0.9342660118073126,0.939016523594502,0.9478287092882992,0.9459635743314435,0.9505397941250314,0.9489570798235059,0.945648915975622,0.9472682658120086,,,,,,
T19,0.9536456779070924,0.9510293823705777,0.9533492822966507,0.9561368609508654,0.9527606139126968,0.9538675681049911,0.9492706725743018,0.9453565547182993,0.9327598141006626,0.9363129594001283,0.9351636956199694,0.9381545149180004,0.9490133226485025,0.9486268820969437,0.9534767383691846,0.9524903831743018,0.9479234021387715,0.9492489645191876,0.9481237853191807,,,,,
T20,0.9521488261042579,0.9493032316068128,0.9515046008455608,0.9535218969031167,0.9514572764348951,0.9516145057128663,0.9494678205510793,0.9463264189424464,0.9313585592678246,0.9337852441300717,0.9342441517593867,0.936676499508358,0.9501349055661037,0.9493147271368054,0.9527657239762581,0.9521769453023812,0.9480268056589725,0.9486362731435397,0.9476034534087526,0.9485737043859213,,,,
T21,0.9540713999197754,0.9511814197188775,0.9548536132174961,0.9553719008264463,0.9542647723279281,0.9553419445278862,0.9497341226045951,0.9457309706000806,0.9334200390175579,0.9368111316143833,0.9356060606060606,0.9389732321214542,0.9493766718820976,0.9480965364031102,0.9524914262658867,0.9501915708812261,0.9482464073962416,0.9485034767711378,0.9479931596418871,0.9483965161355283,0.9483903420523139,,,
