,D01_test,D02_test,D03_test,D04_test,D05_test,D06_test,D07_test,D08_test,D09_test,D10_test,D11_test,D12_test,D13_test,D14_test,D15_test,D16_test,D17_test,D18_test,D19_test,D20_test,D21_test,D22_test,D23_test,D24_test
T1,0.9720241360394953,,,,,,,,,,,,,,,,,,,,,,,
T2,0.9713596623454929,0.9707637530715612,,,,,,,,,,,,,,,,,,,,,,
T3,0.9762297953260272,0.9754806491885144,0.9781772784019975,,,,,,,,,,,,,,,,,,,,,
T4,0.975636490458871,0.9747256566860321,0.9785394932935917,0.9787107339586125,,,,,,,,,,,,,,,,,,,,
T5,0.9754702784048157,0.9735354444944719,0.9762606826927882,0.9781794577320617,0.9767302506741237,,,,,,,,,,,,,,,,,,,
T6,0.9751686235323508,0.9739321138413995,0.9786852589641434,0.9794984076433121,0.9774219216232345,0.9795187910121297,,,,,,,,,,,,,,,,,,
T7,0.9723651991404727,0.9706541776692741,0.9732338308457712,0.9761916596252299,0.9749863245313044,0.9754277755670513,0.9707712991086989,,,,,,,,,,,,,,,,,
T8,0.9670571743266246,0.9670769538677074,0.97135442658948,0.9731510130751572,0.9718710966774918,0.972069825436409,0.9679764928532297,0.9704396538788576,,,,,,,,,,,,,,,,
T9,0.9692925238334169,0.9683385264850739,0.9723292469352014,0.97436924309171,0.9731026897310269,0.972416550069958,0.9713856928464232,0.9693498140890363,0.968339845706843,,,,,,,,,,,,,,,
T10,0.9648831951770912,0.9652191395255327,0.9673896708911486,0.9699003355536635,0.969378038390217,0.9688470399679455,0.967993598719744,0.9661195603071826,0.9662019857587002,0.9695149421835111,,,,,,,,,,,,,,
T11,0.9660116302386205,0.9674731452665395,0.9697575606098475,0.971771171621284,0.9707543868419737,0.9703355972832601,0.9703929302511358,0.9693423355838959,0.9697666283544051,0.9699930216329379,0.970144046254299,,,,,,,,,,,,,
T12,0.9655553323960635,0.9676705716727839,0.9702851425712856,0.9725890356142457,0.9708660236869722,0.9714885954381752,0.9689472102574377,0.9693442376197883,0.967748387419371,0.970354446832975,0.9688778054862843,0.9662921348314607,,,,,,,,,,,,
T13,0.9660761022750151,0.9665274072582675,0.970912738214644,0.9733493637912033,0.9719775820656525,0.9711046453295876,0.9684917096628763,0.9691187547075069,0.9680132151974771,0.9697848924462231,0.9680415459902127,0.9670812727908487,0.9712909054406745,,,,,,,,,,,
T14,0.9676775738228253,0.9675551562344015,0.9712437810945274,0.9743564208534582,0.9721891140246325,0.9729111784879965,0.969934900362769,0.969282936072604,0.9678507640404842,0.9690353314807463,0.9656607700312175,0.9673358116480794,0.9729567907394472,0.9726716113295834,,,,,,,,,,
T15,0.9668483424171208,0.9678419604901225,0.9698993322037277,0.973820426040215,0.9718715833416162,0.9724861933429524,0.9693806541405706,0.9695940885715713,0.9672521583804704,0.9679754114614317,0.9649096758228162,0.9670580076286719,0.9731858054226475,0.9731022115959355,0.974042764793635,,,,,,,,,
T16,0.9672048941931601,0.9687029792356304,0.9705794055839088,0.9745048146485057,0.9709145427286356,0.9723122973310052,0.9705823693657758,0.968992636377298,0.9659396474454736,0.9674205439872472,0.965788165091994,0.9662004081835831,0.9726239927931535,0.9734098278872537,0.9741469489414695,0.9746512674366282,,,,,,,,
T17,0.9681336879610578,0.9693325315694528,0.9727813015032712,0.9745508982035929,0.9729459918139164,0.9733313394147849,0.9703148425787106,0.968925421010425,0.9663010967098704,0.9663648124191462,0.9645432393455666,0.966052762568442,0.9735089388552256,0.973592077623287,0.9739773238099995,0.9728754073702682,0.9718682856143507,,,,,,,
T18,0.9666817428011458,0.9663789642713769,0.9698152875807178,0.9726054789042191,0.9704147926036981,0.9734053189362127,0.9691268451338504,0.9679558011049724,0.9653865336658354,0.9649507119386638,0.9653593470037826,0.9654244719011559,0.9716518080737253,0.9720178204935676,0.9726,0.9732223447999198,0.9716085174447666,0.9725505910639151,,,,,,
T19,0.96692897698974,0.9679474417678678,0.9712555230104751,0.9727150738034889,0.9702734839476813,0.9725708050195923,0.9686835205066047,0.9699536598734366,0.9630690234027847,0.964765100671141,0.9629702774760541,0.9640514818284925,0.9719207408144976,0.9727552948195287,0.9725599166377215,0.9735323383084578,0.9716329673605246,0.9738266699776509,0.96964586846543,,,,,
T20,0.9666666666666667,0.9679163121277341,0.9726732277564071,0.974169741697417,0.9715880769614196,0.9729864682678384,0.9698933306749078,0.9698578009212898,0.9641969169567379,0.9660215909656236,0.9646509780558038,0.9648051625713576,0.972470647014739,0.9718971897189719,0.9740058873422143,0.9732919875962789,0.9721875468118041,0.9751,0.9695277043538976,0.9736184670730489,,,,
T21,0.9671623914562332,0.9677708592777086,0.9719003332172875,0.9735049957747179,0.971542090886516,0.9735323383084578,0.9694141012909633,0.970309853541895,0.966401108417042,0.9668762687527851,0.9653124845365926,0.9658140800474941,0.972357561897186,0.9729004027646562,0.9742928039702233,0.9733844087358838,0.9722456680403158,0.9738896901576566,0.9696879348042139,0.9722856859044402,0.9734707082773381,,,
T22,0.967551622418879,0.969091726169671,0.9727272727272728,0.9747656094155196,0.9744892874937718,0.9738956825555278,0.969835967492646,0.9699879951980792,0.9669343174903995,0.9659877496140631,0.9660789669729327,0.9655618592614711,0.9719457918687803,0.970778896978159,0.9744483737610201,0.972583550130078,0.9718619038116144,0.9735016717401068,0.9702852023294012,0.9738809689961121,0.974481897627965,0.9742924175111066,,
T23,0.967098703888335,0.9691779116665836,0.9734839062733197,0.9754208252644123,0.9733670584734414,0.9746998710189503,0.9717177731467699,0.9708969702999851,0.9662443080578104,0.9669372401504652,0.9667670732309516,0.9679620290714921,0.97370121799652,0.9718995134544732,0.9747249479631281,0.974468720449908,0.9728117699686863,0.9753841563479039,0.9707764822624659,0.9729004027646562,0.9757944018328519,0.9746470471266654,0.9758521315711021,
T24,0.9665143084260731,0.9683446802166675,0.9724661407947611,0.9741584158415841,0.9715557754142963,0.9732328739962328,0.9693372898120672,0.969988590703904,0.9653609263365361,0.9653677521060151,0.963181438332596,0.9656156230016233,0.97229518758983,0.9721135271682599,0.9735591206179441,0.9742774853510776,0.9719635426986328,0.9744073008630096,0.9701285855588526,0.9723488602576809,0.974476114807826,0.9747532364466048,0.9754187729210031,0.9746011233162682
