method,window_id,quarter_label,f1,auc
DistilBERT (Static),D01,2018_Q1,0.9913552760896163,0.9996285334000001
DistilBERT (Static),D02,2018_Q2,0.9706140660804958,0.9956005638000001
DistilBERT (Static),D03,2018_Q3,0.9710531883809735,0.9958508520000001
DistilBERT (Static),D04,2018_Q4,0.9714291473086962,0.9958077232000001
DistilBERT (Static),D05,2019_Q1,0.9698732139263433,0.9954728698
DistilBERT (Static),D06,2019_Q2,0.9709132631494193,0.9956257814
DistilBERT (Static),D07,2019_Q3,0.9216263249485841,0.94513779
DistilBERT (Static),D08,2019_Q4,0.8348006332357665,0.8640111848000002
DistilBERT (Static),D09,2020_Q1,0.8322569699711587,0.8634768692
DistilBERT (Static),D10,2020_Q2,0.8252960649807174,0.8608122746000001
DistilBERT (Static),D11,2020_Q3,0.8264095968678155,0.8626532179999999
DistilBERT (Static),D12,2020_Q4,0.8279273453365553,0.8657953613999999
DistilBERT (Static),D13,2021_Q1,0.8371075274944442,0.8738849728
DistilBERT (Static),D14,2021_Q2,0.8380012984498332,0.8763804303999999
DistilBERT (Static),D15,2021_Q3,0.8366020524515393,0.8768518796
DistilBERT (Static),D16,2021_Q4,0.8379430444581029,0.8796319668
DistilBERT (Static),D17,2022_Q1,0.8360287103075456,0.8780903559999998
DistilBERT (Static),D18,2022_Q2,0.8377398793360071,0.8790295523999999
DistilBERT (Static),D19,2022_Q3,0.8365643419304283,0.8794155542000002
DistilBERT (Static),D20,2022_Q4,0.8375224212701223,0.8813539398000001
DistilBERT (Static),D21,2023_Q1,0.8390643992320712,0.881576587
DistilBERT (Static),D22,2023_Q2,0.8398645269809519,0.8842060646000001
DistilBERT (Static),D23,2023_Q3,0.839706450366937,0.8839179718
DistilBERT (Static),D24,2023_Q4,0.8410080754922421,0.8858213704
DistilBERT + Fine-tune,D01,2018_Q1,0.9913552760896163,0.9996285334000001
DistilBERT + Fine-tune,D02,2018_Q2,0.9706140660804958,0.9956005638000001
DistilBERT + Fine-tune,D03,2018_Q3,0.9742786316311354,0.9964367976
DistilBERT + Fine-tune,D04,2018_Q4,0.9774713555875204,0.9971100554
DistilBERT + Fine-tune,D05,2019_Q1,0.9776074840764332,0.9970025137999998
DistilBERT + Fine-tune,D06,2019_Q2,0.9786369476231737,0.9973845888
DistilBERT + Fine-tune,D07,2019_Q3,0.9309749604858165,0.9346108956000001
DistilBERT + Fine-tune,D08,2019_Q4,0.9678246584124695,0.9950343974
DistilBERT + Fine-tune,D09,2020_Q1,0.9666513935095723,0.9946001950000001
DistilBERT + Fine-tune,D10,2020_Q2,0.9578204364378111,0.9815792637999999
DistilBERT + Fine-tune,D11,2020_Q3,0.9694704547952872,0.9953559815999999
DistilBERT + Fine-tune,D12,2020_Q4,0.9681066285850292,0.9954086715999999
DistilBERT + Fine-tune,D13,2021_Q1,0.9721059692825247,0.9957432513999999
DistilBERT + Fine-tune,D14,2021_Q2,0.9722632398132258,0.9959864102000001
DistilBERT + Fine-tune,D15,2021_Q3,0.9740974177580488,0.9967398130000001
DistilBERT + Fine-tune,D16,2021_Q4,0.9735719352937062,0.9966680630000002
DistilBERT + Fine-tune,D17,2022_Q1,0.9716778202676865,0.9957612142000001
DistilBERT + Fine-tune,D18,2022_Q2,0.9731135822081016,0.9958569218
DistilBERT + Fine-tune,D19,2022_Q3,0.9714012491408421,0.9960357476
DistilBERT + Fine-tune,D20,2022_Q4,0.9736750157231134,0.9962063748
DistilBERT + Fine-tune,D21,2023_Q1,0.9742537798813252,0.9965296964000001
DistilBERT + Fine-tune,D22,2023_Q2,0.9733699725206095,0.9968808036000001
DistilBERT + Fine-tune,D23,2023_Q3,0.9752757702548498,0.9969116197999999
DistilBERT + Fine-tune,D24,2023_Q4,0.9743820314529504,0.996770306
