,D01_test,D02_test,D03_test,D04_test,D05_test,D06_test,D07_test,D08_test,D09_test,D10_test,D11_test,D12_test,D13_test,D14_test,D15_test,D16_test,D17_test,D18_test,D19_test,D20_test,D21_test,D22_test,D23_test,D24_test
T1,0.9723300487707773,,,,,,,,,,,,,,,,,,,,,,,
T2,0.9723300487707773,0.9715790519725728,,,,,,,,,,,,,,,,,,,,,,
T3,0.9723300487707773,0.9715790519725728,0.9734601404172684,,,,,,,,,,,,,,,,,,,,,
T4,0.9723300487707773,0.9715790519725728,0.9734601404172684,0.9733764618064195,,,,,,,,,,,,,,,,,,,,
T5,0.9723300487707773,0.9715790519725728,0.9734601404172684,0.9733764618064195,0.9715934530620367,,,,,,,,,,,,,,,,,,,
T6,0.9723300487707773,0.9715790519725728,0.9734601404172684,0.9733764618064195,0.9715934530620367,0.9733923509225643,,,,,,,,,,,,,,,,,,
T7,0.9723300487707773,0.9715790519725728,0.9734601404172684,0.9733764618064195,0.9715934530620367,0.9733923509225643,0.9235153901958753,,,,,,,,,,,,,,,,,
T8,0.9723300487707773,0.9715790519725728,0.9734601404172684,0.9733764618064195,0.9715934530620367,0.9733923509225643,0.9235153901958753,0.8403427227417819,,,,,,,,,,,,,,,,
T9,0.9723300487707773,0.9715790519725728,0.9734601404172684,0.9733764618064195,0.9715934530620367,0.9733923509225643,0.9235153901958753,0.8403427227417819,0.8352817330600033,,,,,,,,,,,,,,,
T10,0.9723300487707773,0.9715790519725728,0.9734601404172684,0.9733764618064195,0.9715934530620367,0.9733923509225643,0.9235153901958753,0.8403427227417819,0.8352817330600033,0.8312294945226046,,,,,,,,,,,,,,
T11,0.9723300487707773,0.9715790519725728,0.9734601404172684,0.9733764618064195,0.9715934530620367,0.9733923509225643,0.9235153901958753,0.8403427227417819,0.8352817330600033,0.8312294945226046,0.8313869424980536,,,,,,,,,,,,,
T12,0.9723300487707773,0.9715790519725728,0.9734601404172684,0.9733764618064195,0.9715934530620367,0.9733923509225643,0.9235153901958753,0.8403427227417819,0.8352817330600033,0.8312294945226046,0.8313869424980536,0.831961743772242,,,,,,,,,,,,
T13,0.9723300487707773,0.9715790519725728,0.9734601404172684,0.9733764618064195,0.9715934530620367,0.9733923509225643,0.9235153901958753,0.8403427227417819,0.8352817330600033,0.8312294945226046,0.8313869424980536,0.831961743772242,0.8456451070507791,,,,,,,,,,,
T14,0.9723300487707773,0.9715790519725728,0.9734601404172684,0.9733764618064195,0.9715934530620367,0.9733923509225643,0.9235153901958753,0.8403427227417819,0.8352817330600033,0.8312294945226046,0.8313869424980536,0.831961743772242,0.8456451070507791,0.8456989847149392,,,,,,,,,,
T15,0.9723300487707773,0.9715790519725728,0.9734601404172684,0.9733764618064195,0.9715934530620367,0.9733923509225643,0.9235153901958753,0.8403427227417819,0.8352817330600033,0.8312294945226046,0.8313869424980536,0.831961743772242,0.8456451070507791,0.8456989847149392,0.8487014800335102,,,,,,,,,
T16,0.9723300487707773,0.9715790519725728,0.9734601404172684,0.9733764618064195,0.9715934530620367,0.9733923509225643,0.9235153901958753,0.8403427227417819,0.8352817330600033,0.8312294945226046,0.8313869424980536,0.831961743772242,0.8456451070507791,0.8456989847149392,0.8487014800335102,0.8530410105169439,,,,,,,,
T17,0.9723300487707773,0.9715790519725728,0.9734601404172684,0.9733764618064195,0.9715934530620367,0.9733923509225643,0.9235153901958753,0.8403427227417819,0.8352817330600033,0.8312294945226046,0.8313869424980536,0.831961743772242,0.8456451070507791,0.8456989847149392,0.8487014800335102,0.8530410105169439,0.846637369972743,,,,,,,
T18,0.9723300487707773,0.9715790519725728,0.9734601404172684,0.9733764618064195,0.9715934530620367,0.9733923509225643,0.9235153901958753,0.8403427227417819,0.8352817330600033,0.8312294945226046,0.8313869424980536,0.831961743772242,0.8456451070507791,0.8456989847149392,0.8487014800335102,0.8530410105169439,0.846637369972743,0.8497634288895074,,,,,,
T19,0.9723300487707773,0.9715790519725728,0.9734601404172684,0.9733764618064195,0.9715934530620367,0.9733923509225643,0.9235153901958753,0.8403427227417819,0.8352817330600033,0.8312294945226046,0.8313869424980536,0.831961743772242,0.8456451070507791,0.8456989847149392,0.8487014800335102,0.8530410105169439,0.846637369972743,0.8497634288895074,0.8463543110618242,,,,,
T20,0.9723300487707773,0.9715790519725728,0.9734601404172684,0.9733764618064195,0.9715934530620367,0.9733923509225643,0.9235153901958753,0.8403427227417819,0.8352817330600033,0.8312294945226046,0.8313869424980536,0.831961743772242,0.8456451070507791,0.8456989847149392,0.8487014800335102,0.8530410105169439,0.846637369972743,0.8497634288895074,0.8463543110618242,0.848747430983725,,,,
T21,0.9723300487707773,0.9715790519725728,0.9734601404172684,0.9733764618064195,0.9715934530620367,0.9733923509225643,0.9235153901958753,0.8403427227417819,0.8352817330600033,0.8312294945226046,0.8313869424980536,0.831961743772242,0.8456451070507791,0.8456989847149392,0.8487014800335102,0.8530410105169439,0.846637369972743,0.8497634288895074,0.8463543110618242,0.848747430983725,0.8502661934338953,,,
