,D01_test,D02_test,D03_test,D04_test,D05_test,D06_test,D07_test,D08_test,D09_test,D10_test,D11_test,D12_test,D13_test,D14_test,D15_test,D16_test,D17_test,D18_test,D19_test,D20_test,D21_test,D22_test,D23_test,D24_test
T1,0.9617263031994419,,,,,,,,,,,,,,,,,,,,,,,
T2,0.9617263031994419,0.9500701824744335,,,,,,,,,,,,,,,,,,,,,,
T3,0.9617263031994419,0.9500701824744335,0.9546345139412208,,,,,,,,,,,,,,,,,,,,,
T4,0.9617263031994419,0.9500701824744335,0.9546345139412208,0.9542339818936628,,,,,,,,,,,,,,,,,,,,
T5,0.963946117274168,0.9517399541330143,0.9569549621363093,0.9562844241552126,0.954100154159829,,,,,,,,,,,,,,,,,,,
T6,0.9640051705279905,0.9530577519767791,0.9583833533413365,0.9574870569494225,0.9553892215568862,0.9582522819093222,,,,,,,,,,,,,,,,,,
T7,0.9515781219368751,0.9453236700685302,0.9489841098046933,0.9483618581907091,0.9463400265108743,0.9482302186488871,0.9352439508131694,,,,,,,,,,,,,,,,,
T8,0.9466423609400404,0.9397077037404012,0.9424695514407367,0.9436119873817035,0.9410891823712717,0.9418495684340321,0.9399921042242401,0.9349516968045578,,,,,,,,,,,,,,,,
T9,0.948626045400239,0.9414183970307954,0.943227940071153,0.9456016784055148,0.9451176765147722,0.9446166150154953,0.9405648587853037,0.9358774792869696,0.9289677580604849,,,,,,,,,,,,,,,
T10,0.9460417487199685,0.9404761904761905,0.9425844419168191,0.9458498023715415,0.9430411094601288,0.9433682545957699,0.9410951463980645,0.9405485544848036,0.9326975074971732,0.9344447168423633,,,,,,,,,,,,,,
T11,0.9512085721405432,0.9442797568205799,0.9464500601684718,0.9480993056596233,0.9471469365262262,0.9472209715343439,0.9428885777155431,0.9383943364964603,0.9326648282777639,0.9357816476223741,0.9344467223361168,,,,,,,,,,,,,
T12,0.9532588547667953,0.9469643398323063,0.9505787619526925,0.9523234761617381,0.9486572277926135,0.9500276229220029,0.9442038473159432,0.9387527839643652,0.9338049519959576,0.9369959677419355,0.9355863808322825,0.9393099974817426,,,,,,,,,,,,
