,D01_test,D02_test,D03_test,D04_test,D05_test,D06_test,D07_test,D08_test,D09_test,D10_test,D11_test,D12_test,D13_test,D14_test,D15_test,D16_test,D17_test,D18_test,D19_test,D20_test,D21_test,D22_test,D23_test,D24_test
T1,0.9502146346277199,,,,,,,,,,,,,,,,,,,,,,,
T2,0.9502146346277199,0.9517139334155363,,,,,,,,,,,,,,,,,,,,,,
T3,0.9502146346277199,0.9517139334155363,0.9555763270526886,,,,,,,,,,,,,,,,,,,,,
T4,0.9502146346277199,0.9517139334155363,0.9555763270526886,0.955314661303772,,,,,,,,,,,,,,,,,,,,
T5,0.9555806975257022,0.9539399301971194,0.9608719132014335,0.9593933463796478,0.9581804842259721,,,,,,,,,,,,,,,,,,,
T6,0.9607532210109019,0.9591291439881247,0.9663720310108143,0.9646815427811438,0.9631783901020358,0.9656293086468387,,,,,,,,,,,,,,,,,,
T7,0.9550029603315572,0.9536326048434731,0.9607467452714321,0.9598706453035426,0.9590155897637023,0.9601488299226476,0.9520244310905329,,,,,,,,,,,,,,,,,
T8,0.947917174177832,0.9466666666666667,0.952926332136271,0.952076677316294,0.9494216156042786,0.9516066589237321,0.9485343910225403,0.9455181120714772,,,,,,,,,,,,,,,,
T9,0.954788286505738,0.9542826076212129,0.9605918618988902,0.9603741078021166,0.9579914508917604,0.958765419963631,0.9556965137434233,0.9517227761871853,0.948657652361356,,,,,,,,,,,,,,,
T10,0.9521205190672699,0.9538583929992045,0.958494304110946,0.9587618670886076,0.9567751815442375,0.9567623659633345,0.955363748458693,0.9542956177271602,0.9504706520132078,0.951076513770508,,,,,,,,,,,,,,
T11,0.9582814135473259,0.9581107394278296,0.964344323437267,0.9637166823844742,0.9624336261227731,0.9626177491323749,0.9601032155617308,0.9570759884473659,0.9543786571456908,0.9547121197106332,0.9538110813757558,,,,,,,,,,,,,
T12,0.9568366739432427,0.9571996027805363,0.962889658584859,0.9631092893476221,0.9598143759873617,0.9603945745992601,0.9590418453349105,0.9561646546605976,0.9544716247477482,0.9554823159033893,0.9539127440853868,0.9554910736241577,,,,,,,,,,,,
T13,0.9572930682214581,0.9585078795132655,0.9634012928891099,0.9644115749243064,0.9617768082891279,0.9630107100357002,0.9593374987602896,0.9585963517073414,0.9531118482943012,0.9559027091160768,0.9545342350792319,0.9554114910674518,0.9630770759827063,,,,,,,,,,,
T14,0.9595467647351158,0.9603419143226319,0.9657873859579532,0.9667392595525639,0.9635123108869772,0.9645046470239272,0.9614281475620611,0.9582009531374106,0.9553196741545298,0.9558011049723757,0.9544333760725909,0.956989247311828,0.9657534246575342,0.9614146317301501,,,,,,,,,,
T15,0.9595003222128587,0.9590440301467672,0.9654831371773316,0.9661845288048576,0.9629666157108339,0.9638756098762998,0.9608866995073891,0.9597351909490638,0.9532820236286093,0.9550451511582254,0.9530668234371938,0.9548152872491782,0.9662676822633297,0.9624512754724429,0.9660515148524622,,,,,,,,,
T16,0.9602938256898947,0.9605034937311066,0.9659231415994857,0.9666271721958926,0.9628095097168787,0.9641642431113521,0.9613793103448276,0.9598498691293397,0.9548374442210562,0.9553602121494869,0.9540286218388552,0.955613320908333,0.9668035422747736,0.9629373735379756,0.9667324777887463,0.9659601798330122,,,,,,,,
T17,0.960385226370135,0.9608495013149407,0.9660119724929501,0.9658136547771959,0.9631932109729623,0.9648196575714215,0.9611157656103692,0.9587103792711269,0.9529371350051529,0.9545967702351151,0.9514972999509081,0.9543311726576311,0.965052965052965,0.9629373393951374,0.965950707710581,0.965175608064596,0.9615118918385474,,,,,,,
T18,0.9582,0.9604435121366497,0.9639549935278303,0.9652940297764279,0.9627937012567682,0.9645643854679191,0.961005414534797,0.9603111288392501,0.954047489218262,0.9566509784493435,0.9545702254149121,0.9565001981767737,0.9640402430520968,0.9622303945929828,0.965970803647053,0.9645241654210264,0.9626172864022241,0.9635792935080464,,,,,,
T19,0.9614296351451973,0.9616147589763936,0.9673305985271586,0.9662322274881516,0.9640145913437839,0.9655342438735762,0.9612769731007981,0.9603045133224578,0.9537450335998431,0.9552004705421037,0.9539125318689939,0.9542201744926968,0.9660220584598644,0.963686599565818,0.966263274882687,0.9654388133498146,0.9633941785890479,0.9651519651519651,0.9595233405554461,,,,,
T20,0.9616320047649775,0.9618683988694402,0.9675857298151991,0.967604938271605,0.964837007446861,0.9658575093743833,0.9611822660098522,0.9602058998218175,0.9553132979768219,0.9549381504025133,0.9539806492804872,0.9557226399331662,0.9657493565630568,0.96402451077288,0.9660079051383399,0.9650938258157152,0.9637638230647709,0.9655035685963521,0.9612173311595277,0.9651277986922925,,,,
T21,0.9595055624227441,0.9603955500618047,0.9649088220798423,0.9655546247474499,0.9628647214854111,0.9644315442514881,0.9605146842156959,0.9608046147019672,0.9516750377919735,0.9524738947984775,0.9514004098760613,0.9537109375,0.9652692250849796,0.9627078618518154,0.9660232420720898,0.9643155977752621,0.9623225426143341,0.9645550899679566,0.9588235294117647,0.9639670725094889,0.9616084156712382,,,
T22,0.9636191708555218,0.9634971155758902,0.967984934086629,0.9682146747202693,0.9663321303208583,0.967786629719432,0.9642627650635164,0.9630402384500745,0.9551900728776836,0.9564660691421255,0.9547511312217195,0.956217680374292,0.9675753513084066,0.9658488228004957,0.9674732249107497,0.9673286991062562,0.9652953116490915,0.9685434577349302,0.9627541178216352,0.9663936460660213,0.9653396712220241,0.96589331746976,,
T23,0.961362733412793,0.9620580055621772,0.965565010884623,0.9672439386442355,0.9654083395016038,0.9666617276633576,0.962593269753422,0.9617291294864169,0.9550727487219819,0.9555380680700374,0.9543645920322248,0.9555938037865749,0.9649504950495049,0.9628420167235664,0.9660597664753612,0.9656299524564184,0.9648290851610354,0.9657496902106567,0.9609556246606447,0.9650869113058981,0.963197467352592,0.9648072068504677,0.9675151034960879,
T24,0.9637465236392531,0.9630622579684242,0.9681982293881992,0.9678790274757857,0.9657078008585385,0.9669711182424093,0.9645642088638832,0.9622548048345552,0.955662603224538,0.9566157323244731,0.9548577036310107,0.9562911305372753,0.9675215367858204,0.9648420115709835,0.9677451271396063,0.9673105497771174,0.9658372827804107,0.9672846237731734,0.9625826833843419,0.966684817583288,0.965005931198102,0.9663121444471927,0.9689527110670958,0.9668598603061376
