,D01_test,D02_test,D03_test,D04_test,D05_test,D06_test,D07_test,D08_test,D09_test,D10_test,D11_test,D12_test,D13_test,D14_test,D15_test,D16_test,D17_test,D18_test,D19_test,D20_test,D21_test,D22_test,D23_test,D24_test
T1,0.9617263031994419,,,,,,,,,,,,,,,,,,,,,,,
T2,0.9650809464508094,0.9575606098475381,,,,,,,,,,,,,,,,,,,,,,
T3,0.9633513132026011,0.9602378672579751,0.9628659243210561,,,,,,,,,,,,,,,,,,,,,
T4,0.9672526368658966,0.9637826961770624,0.9694568433722854,0.9686435584051293,,,,,,,,,,,,,,,,,,,,
T5,0.9669675727469867,0.9626673402374337,0.9696939186467982,0.969602572476511,0.9667454847310962,,,,,,,,,,,,,,,,,,,
T6,0.9671608561453221,0.9630717795451091,0.9690846635683976,0.969739761952794,0.9683052387200969,0.9700332963374029,,,,,,,,,,,,,,,,,,
T7,0.9566123907863384,0.9555511459470185,0.961313940833086,0.9590989922940131,0.9594574526013564,0.9588107467404188,0.9551765172550575,,,,,,,,,,,,,,,,,
T8,0.9545933470473132,0.9545887902052286,0.9577366398882291,0.9577113185880474,0.9574265846215418,0.9575412862345957,0.9563351464643944,0.9528047195280472,,,,,,,,,,,,,,,,
T9,0.954130262112788,0.9520115371226814,0.9556962025316456,0.9582652606564681,0.9575068018797922,0.9562336185154048,0.956048307265888,0.9517084732372112,0.950233817376323,,,,,,,,,,,,,,,
T10,0.9526292488563136,0.9504364550969078,0.9531142717018146,0.957600117641292,0.9528204624674751,0.9534029104806703,0.9532536260290082,0.9502567865003668,0.9492368459550398,0.9502072665203609,,,,,,,,,,,,,,
T11,0.9553460060869131,0.9536986164527247,0.9594984575579659,0.9598369619246446,0.9579088605078766,0.9582898334576186,0.9561246773873338,0.9553186213736673,0.9544193420531114,0.9548399861502695,0.9525127242180165,,,,,,,,,,,,,
T12,0.9586668680461159,0.9573097060008054,0.9626431010243021,0.9635124298315958,0.9616001604170844,0.9610545837301389,0.9581829121540313,0.9575922017887649,0.954062186559679,0.9593918783756752,0.9577182887165374,0.9570171931227509,,,,,,,,,,,,
T13,0.9583209583209583,0.9577674234162784,0.9610825760568945,0.9639315142843046,0.961711377896349,0.9622939492646333,0.9591393604421634,0.9581996742831762,0.9546213535016207,0.9531648050166569,0.9539806492804872,0.9541122138154663,0.9635651613542854,,,,,,,,,,,
T14,0.9609112348838377,0.9589838847331693,0.965068561705535,0.9656067488643738,0.9641358641358642,0.9645871834573697,0.9606864897226103,0.958941194164536,0.953981153711921,0.9540361535780091,0.9565650032339917,0.9577577178195601,0.9632197769068436,0.9651751265220223,,,,,,,,,,
T15,0.958373375145415,0.9588514811444748,0.9603715482861326,0.9638469284994965,0.9617943548387097,0.9623203026481715,0.9608544511058492,0.9588279868653701,0.9518507372855853,0.954734573161562,0.9534942055887222,0.9556033835527303,0.9626484710639374,0.9637253418091922,0.9657255020383512,,,,,,,,,
T16,0.9620708610264355,0.9615730112785708,0.9646519964154138,0.9670264087133834,0.9635901778154107,0.9635261379447426,0.962535449524852,0.9603550590934025,0.9541429631461786,0.9546600741656366,0.9544848035581912,0.955274094597269,0.9667549867519872,0.9652968492535078,0.9660332186143947,0.9649455707580146,,,,,,,,
T17,0.9599920183577771,0.959972050309443,0.9640444974175606,0.9661480340010936,0.9634528367560041,0.9638350720317933,0.9619094977623073,0.960390127388535,0.9512447621395119,0.9522216208236973,0.9505935668193685,0.9531881344239677,0.9652074077771676,0.963921373475989,0.9647820672478207,0.9652043868394815,0.964452852733247,,,,,,,
T18,0.9591159125823876,0.9595949568152486,0.9633290501136701,0.9651593773165308,0.9633254250691973,0.962185081102401,0.9616163612112829,0.9588756371554412,0.9531764359062546,0.9547753498649644,0.9520537861314227,0.9542541220216253,0.9651992861392028,0.9644041784246745,0.9651933155344606,0.9658860226766351,0.9664356435643564,0.964679035618613,,,,,,
T19,0.9597545024650367,0.9590060862129671,0.9629109159347553,0.9635380146248622,0.9617952708469301,0.9629889669007021,0.9604491453205675,0.9577989034756803,0.9522717071467757,0.9550617776006377,0.9511137688742712,0.9529499626587006,0.9631234256926953,0.9620418848167539,0.9640814688471957,0.9641598711366153,0.9631898759604278,0.9634287439005986,0.960653601323242,,,,,
T20,0.9598129911469213,0.9609756097560975,0.9642750818696041,0.9649419008839011,0.9632644956314536,0.96527088708077,0.9619964278626711,0.9584721738697966,0.9522024367385192,0.9546824808500124,0.9524937102264318,0.9519453051989573,0.9661363523016309,0.9635450340677376,0.9666517568709309,0.964644955681705,0.9658565677650216,0.9649394045184779,0.9624037745219767,0.9637450199203187,,,,
T21,0.9599242348718972,0.9579152313913434,0.962429897265373,0.9646017699115044,0.9640101548110906,0.9636986641505686,0.9605517788914801,0.9594272076372315,0.9537412276366511,0.9558133794124908,0.9529458283906682,0.9554655870445344,0.9643764635543819,0.9644882124738884,0.9663614649681529,0.9650126909869109,0.9660276149796364,0.962800657337782,0.9627202779846116,0.963917782312248,0.9646158433555313,,,
T22,0.960432735650606,0.9604649997494613,0.9637496883570182,0.9658750748353622,0.9633325018707907,0.9645779285571742,0.9611296841474977,0.956835252879319,0.9530388113104408,0.9534295491742301,0.9519173455195709,0.9541193393184861,0.9654792324264743,0.9634005907975768,0.9648070385922816,0.9645681113001702,0.9653034696530347,0.964553920096125,0.9617748463498725,0.965268741867681,0.9632738719832109,0.9643928785757151,,
T23,0.9620962096209621,0.960308710033076,0.9657547923322684,0.9675324675324676,0.964056034697642,0.9657065841361753,0.963746072906797,0.9598759255553332,0.9550310559006211,0.9560335833871528,0.9547259729944401,0.9570357125117965,0.9654412501252129,0.9650069986002799,0.9663269384492406,0.9655517724814741,0.9658307523229094,0.967741935483871,0.963613676066883,0.966688308445288,0.96575856035991,0.9653653653653653,0.9688359761892852,
T24,0.9602699028148447,0.95954398708636,0.963275983499346,0.9651611609604491,0.9625877632898696,0.9654618473895582,0.9593822084043727,0.959057259404744,0.9536337718201371,0.954479588267626,0.9543659719098315,0.955527826303968,0.9652081969689341,0.9627953745600805,0.9650455162701805,0.9639476334340382,0.9644058436668508,0.9641867727799325,0.961318195518939,0.9641402202886888,0.9636071177239368,0.9636747836586839,0.9670649663620845,0.9647816462064802
