method,window_id,quarter_label,f1,auc
DRC-CL,D02,2018_Q2,0.9523464614456013,0.9907220778
DRC-CL,D03,2018_Q3,0.9553902600396976,0.9909807650000002
DRC-CL,D04,2018_Q4,0.9555829302246392,0.9910778845999999
DRC-CL,D05,2019_Q1,0.9539378901872899,0.9908008232
DRC-CL,D06,2019_Q2,0.9545563693120422,0.9907117151999999
DRC-CL,D07,2019_Q3,0.90972265698366,0.9597082554
DRC-CL,D08,2019_Q4,0.9266080928582944,0.9808312929999999
DRC-CL,D09,2020_Q1,0.9211053809477474,0.9772314722
DRC-CL,D10,2020_Q2,0.9239499652256302,0.9785988889999999
DRC-CL,D11,2020_Q3,0.9331486793945989,0.983028539
DRC-CL,D12,2020_Q4,0.9388221727373947,0.9847569588
DRC-CL,D13,2021_Q1,0.9454520213789206,0.9872874836000001
DRC-CL,D14,2021_Q2,0.9473642489100278,0.9882346323999999
DRC-CL,D15,2021_Q3,0.9479752753783977,0.9888092660000001
DRC-CL,D16,2021_Q4,0.9499750772604925,0.9891172356000001
DRC-CL,D17,2022_Q1,0.9425011259570635,0.9856677064
DRC-CL,D18,2022_Q2,0.944249020374212,0.9868463398
DRC-CL,D19,2022_Q3,0.9447960900568865,0.9866099074
DRC-CL,D20,2022_Q4,0.9447320219797722,0.9867543022
DRC-CL,D21,2023_Q1,0.9442328698373336,0.9867276232
DRC-CL,D22,2023_Q2,0.9436773876108328,0.9872901356
DRC-CL,D23,2023_Q3,0.9447383891828336,0.9873620626
DRC-CL,D24,2023_Q4,0.9437553569845226,0.9865593366000001
Static-CNN,D01,2018_Q1,0.9683246099597151,0.9956754489999999
Static-CNN,D02,2018_Q2,0.9523464614456013,0.9907220778
Static-CNN,D03,2018_Q3,0.9553902600396976,0.9909807650000002
Static-CNN,D04,2018_Q4,0.9555829302246392,0.9910778845999999
Static-CNN,D05,2019_Q1,0.9539378901872899,0.9908008232
Static-CNN,D06,2019_Q2,0.9545563693120422,0.9907117151999999
Static-CNN,D07,2019_Q3,0.90972265698366,0.9597082554
Static-CNN,D08,2019_Q4,0.8340309636227662,0.9098517264000001
Static-CNN,D09,2020_Q1,0.8269037716908074,0.9024507248
Static-CNN,D10,2020_Q2,0.823486433529275,0.9014955303999999
Static-CNN,D11,2020_Q3,0.8224518761642864,0.9024891998
Static-CNN,D12,2020_Q4,0.8259943260219232,0.903924543
Static-CNN,D13,2021_Q1,0.8394708616374688,0.916164243
Static-CNN,D14,2021_Q2,0.8367616446941379,0.9162220591999999
Static-CNN,D15,2021_Q3,0.8321264580737148,0.9151413751999999
Static-CNN,D16,2021_Q4,0.8342405638671591,0.9163868683999999
Static-CNN,D17,2022_Q1,0.8333817775293461,0.9111000222
Static-CNN,D18,2022_Q2,0.8342419232316011,0.911909587
Static-CNN,D19,2022_Q3,0.8334747465725897,0.9109229499999999
Static-CNN,D20,2022_Q4,0.8337035755349906,0.9118926281999999
Static-CNN,D21,2023_Q1,0.8330929621555145,0.9141391426
Static-CNN,D22,2023_Q2,0.8360053179009932,0.9168362834000001
Static-CNN,D23,2023_Q3,0.8358718956583884,0.9153702582000001
Static-CNN,D24,2023_Q4,0.8348511227177358,0.9154483116000001
