method,window_id,quarter_label,f1,auc
DRC-CL,D02,2018_Q2,0.9523464614456012,0.9907220778
DRC-CL,D03,2018_Q3,0.9553902600396976,0.9909807650000002
DRC-CL,D04,2018_Q4,0.9555829302246392,0.9910778846
DRC-CL,D05,2019_Q1,0.95393789018729,0.9908008232
DRC-CL,D06,2019_Q2,0.9545563693120422,0.9907117152
DRC-CL,D07,2019_Q3,0.90972265698366,0.9597082554
DRC-CL,D08,2019_Q4,0.9266080928582944,0.980831293
DRC-CL,D09,2020_Q1,0.9211053809477474,0.9772314722
DRC-CL,D10,2020_Q2,0.9239499652256302,0.978598889
DRC-CL,D11,2020_Q3,0.9331486793945988,0.983028539
DRC-CL,D12,2020_Q4,0.9388221727373948,0.9847569588
DRC-CL,D13,2021_Q1,0.9454520213789206,0.9872874836
DRC-CL,D14,2021_Q2,0.9473642489100278,0.9882346324
DRC-CL,D15,2021_Q3,0.9479752753783977,0.988809266
DRC-CL,D16,2021_Q4,0.9499750772604924,0.9891172356
DRC-CL,D17,2022_Q1,0.9425011259570636,0.9856677064
DRC-CL,D18,2022_Q2,0.944249020374212,0.9868463398
DRC-CL,D19,2022_Q3,0.9447960900568864,0.9866099074
DRC-CL,D20,2022_Q4,0.9447320219797722,0.9867543022
DRC-CL,D21,2023_Q1,0.9442328698373336,0.9867276232
DRC-CL,D22,2023_Q2,0.9436773876108328,0.9872901356
DRC-CL,D23,2023_Q3,0.9447383891828336,0.9873620626
DRC-CL,D24,2023_Q4,0.9437553569845226,0.9865593366
Static-CNN,D01,2018_Q1,0.9683246099597151,0.9956754489999999
Static-CNN,D02,2018_Q2,0.9523464614456013,0.9907220778
Static-CNN,D03,2018_Q3,0.9553902600396976,0.9909807650000002
Static-CNN,D04,2018_Q4,0.9555829302246392,0.9910778845999999
Static-CNN,D05,2019_Q1,0.9539378901872899,0.9908008232
Static-CNN,D06,2019_Q2,0.9545563693120422,0.9907117151999999
Static-CNN,D07,2019_Q3,0.90972265698366,0.9597082554
Static-CNN,D08,2019_Q4,0.8340309636227662,0.9098517264000001
Static-CNN,D09,2020_Q1,0.8269037716908074,0.9024507248
Static-CNN,D10,2020_Q2,0.823486433529275,0.9014955303999999
Static-CNN,D11,2020_Q3,0.8224518761642864,0.9024891998
Static-CNN,D12,2020_Q4,0.8259943260219232,0.903924543
Static-CNN,D13,2021_Q1,0.8394708616374688,0.916164243
Static-CNN,D14,2021_Q2,0.8367616446941379,0.9162220591999999
Static-CNN,D15,2021_Q3,0.8321264580737148,0.9151413751999999
Static-CNN,D16,2021_Q4,0.8342405638671591,0.9163868683999999
Static-CNN,D17,2022_Q1,0.8333817775293461,0.9111000222
Static-CNN,D18,2022_Q2,0.8342419232316011,0.911909587
Static-CNN,D19,2022_Q3,0.8334747465725897,0.9109229499999999
Static-CNN,D20,2022_Q4,0.8337035755349906,0.9118926281999999
Static-CNN,D21,2023_Q1,0.8330929621555145,0.9141391426
Static-CNN,D22,2023_Q2,0.8360053179009932,0.9168362834000001
Static-CNN,D23,2023_Q3,0.8358718956583884,0.9153702582000001
Static-CNN,D24,2023_Q4,0.8348511227177358,0.9154483116000001
SW-Retrain,D01,2018_Q1,0.9683246099597151,0.9956754489999999
SW-Retrain,D02,2018_Q2,0.9523464614456013,0.9907220778
SW-Retrain,D03,2018_Q3,0.9617486338797814,0.9931461219999999
SW-Retrain,D04,2018_Q4,0.9635912329538032,0.9937766476
SW-Retrain,D05,2019_Q1,0.963400447427293,0.9936588761999999
SW-Retrain,D06,2019_Q2,0.9621704241497898,0.9936136196000002
SW-Retrain,D07,2019_Q3,0.9177464028963557,0.9410177623999999
SW-Retrain,D08,2019_Q4,0.9395156015737415,0.9864986601999999
SW-Retrain,D09,2020_Q1,0.9332880258252796,0.9833353828000001
SW-Retrain,D10,2020_Q2,0.9388118356449306,0.9847888142000001
SW-Retrain,D11,2020_Q3,0.9428846655562022,0.9874426084
SW-Retrain,D12,2020_Q4,0.9365976750233557,0.9870366232000001
SW-Retrain,D13,2021_Q1,0.9447947601806274,0.9894217654
SW-Retrain,D14,2021_Q2,0.9464633354964309,0.9893958093999999
SW-Retrain,D15,2021_Q3,0.9502743956411417,0.989970572
SW-Retrain,D16,2021_Q4,0.9502058342689437,0.9903128406
SW-Retrain,D17,2022_Q1,0.9460494875491222,0.9866156669999999
SW-Retrain,D18,2022_Q2,0.9505864142406382,0.9896540578000002
SW-Retrain,D19,2022_Q3,0.9483005258598111,0.9886500208
SW-Retrain,D20,2022_Q4,0.9490146825752819,0.9886984605999999
SW-Retrain,D21,2023_Q1,0.9492454061752081,0.9892610444000002
SW-Retrain,D22,2023_Q2,0.9482605177993527,0.9897730008000001
SW-Retrain,D23,2023_Q3,0.9514931710777408,0.9901398533999999
SW-Retrain,D24,2023_Q4,0.9494921468562652,0.9896677805999999
EWC-only,D01,2018_Q1,0.9683246099597151,0.9956754489999999
EWC-only,D02,2018_Q2,0.9523464614456013,0.9907220778
EWC-only,D03,2018_Q3,0.9596932065735712,0.9928187408000001
EWC-only,D04,2018_Q4,0.9666223243439351,0.9946669667999999
EWC-only,D05,2019_Q1,0.9676725437767636,0.9948331068000003
EWC-only,D06,2019_Q2,0.9652214565928817,0.9954268187999998
EWC-only,D07,2019_Q3,0.9214534699482413,0.9280217252
EWC-only,D08,2019_Q4,0.9472586442565686,0.9894859756
EWC-only,D09,2020_Q1,0.9439872312833558,0.9880366773999999
EWC-only,D10,2020_Q2,0.9424650815869869,0.9868151572000001
EWC-only,D11,2020_Q3,0.9522241173126311,0.991357259
EWC-only,D12,2020_Q4,0.9573315239303379,0.9921989477999998
EWC-only,D13,2021_Q1,0.9582695601933974,0.9933644228
EWC-only,D14,2021_Q2,0.9617463155449155,0.9938241639999998
EWC-only,D15,2021_Q3,0.9660508637236085,0.9943842936
EWC-only,D16,2021_Q4,0.9630500197566387,0.9944173392
EWC-only,D17,2022_Q1,0.9573408883942123,0.9927261750000002
EWC-only,D18,2022_Q2,0.9643308677862839,0.9940328235999999
EWC-only,D19,2022_Q3,0.9634481174931858,0.9937331556000001
EWC-only,D20,2022_Q4,0.9644724547207698,0.9940951571999999
EWC-only,D21,2023_Q1,0.9634056619936909,0.9943542839999999
EWC-only,D22,2023_Q2,0.9657184098153606,0.994772417
EWC-only,D23,2023_Q3,0.967396974439228,0.9949012724
EWC-only,D24,2023_Q4,0.965896744597803,0.9949428575999998
iCaRL,D01,2018_Q1,0.9683246099597151,0.9956754489999999
iCaRL,D02,2018_Q2,0.9523464614456013,0.9907220778
iCaRL,D03,2018_Q3,0.9549010953737511,0.99076472
iCaRL,D04,2018_Q4,0.9560881454077529,0.9911652043999999
