,D01_test,D02_test,D03_test,D04_test,D05_test,D06_test,D07_test,D08_test,D09_test,D10_test,D11_test,D12_test,D13_test,D14_test,D15_test,D16_test,D17_test,D18_test,D19_test,D20_test,D21_test,D22_test,D23_test,D24_test
T1,0.9617263031994419,,,,,,,,,,,,,,,,,,,,,,,
T2,0.957833424602977,0.9492912757037333,,,,,,,,,,,,,,,,,,,,,,
T3,0.9518721967444439,0.9458377666312003,0.9483701154079773,,,,,,,,,,,,,,,,,,,,,
T4,0.9552689905299214,0.9477031802120142,0.9499394428744449,0.9511361351297004,,,,,,,,,,,,,,,,,,,,
T5,0.9553629577676469,0.947759321523561,0.9509183980728696,0.9516483516483516,0.9486510881556514,,,,,,,,,,,,,,,,,,,
T6,0.9552680951910734,0.9465815139363335,0.9508862263590454,0.9501654566108559,0.9486380938256957,0.9502795230792065,,,,,,,,,,,,,,,,,,
T7,0.9462172284644195,0.939158348798716,0.9448787332130687,0.9441781505891752,0.9407063289874619,0.9458300079808459,0.9297253634894992,,,,,,,,,,,,,,,,,
T8,0.9375894222704623,0.9317686670627847,0.9362270120624876,0.9335826035619403,0.933919399446859,0.9364578194375925,0.9327027293329392,0.9249851160944632,,,,,,,,,,,,,,,,
T9,0.9339033859157698,0.9321699694370502,0.931341229665307,0.9352065628530727,0.934251968503937,0.9335433691050508,0.9288492786449357,0.9228720781142125,0.9151860213998233,,,,,,,,,,,,,,,
T10,0.93063117564025,0.9308862935436574,0.9305288704621296,0.9332729468599034,0.9321065669076386,0.9341130211221454,0.9301479872720845,0.9199103321785205,0.912369311581393,0.9157799638626781,,,,,,,,,,,,,,
T11,0.9349820502592741,0.9308138372325535,0.9340258702492134,0.9344703770197487,0.9334598861025077,0.9350182308575995,0.9305181191973645,0.919041157847128,0.9132067912054891,0.9147812219675072,0.9198282747603834,,,,,,,,,,,,,
T12,0.9357291616215431,0.9327091866588648,0.9349692061490713,0.9350687052448229,0.9355685131195335,0.9361640250109059,0.9295911430513741,0.9218086922589142,0.9122264624897348,0.9128061446306942,0.9158164498815338,0.9156417305744465,,,,,,,,,,,,
T13,0.931683597323191,0.9286232059150438,0.9311725268894998,0.9332691381800674,0.930474584437485,0.9301228027931616,0.9280641576887773,0.9195091313170355,0.9002700525891885,0.9030242794263807,0.9032044303497894,0.903473076559099,0.9265107212475634,,,,,,,,,,,
T14,0.9337822671156004,0.9311440160289303,0.933320325837764,0.9326394630611352,0.9331191588785047,0.9339314447315813,0.9293767387378593,0.9227748048505081,0.8996841198430171,0.9020263811890652,0.9049079754601227,0.9056874760628112,0.928328318453115,0.9317857669797865,,,,,,,,,,
T15,0.9373025276461295,0.9359146190121618,0.9371655104063429,0.9361030246213056,0.9362732980669403,0.93680003946914,0.9319791924696557,0.9232997103765105,0.9034304396623237,0.9019779365310784,0.9041536661466458,0.9066692591872448,0.9306960440660992,0.9327009485771343,0.9348804641392418,,,,,,,,,
T16,0.9354570772462989,0.9322983197405915,0.9358490566037736,0.9361473447652547,0.9356357927786499,0.9374266718811107,0.9319140586677132,0.922674045160334,0.9009165460684998,0.9009338596322326,0.9046150881587821,0.9043704024231934,0.9290597443772912,0.9296527159394479,0.9345979055522624,0.9325687166304133,,,,,,,,
T17,0.9379711287382372,0.9359323207836541,0.9387674544826565,0.9361157594251402,0.9361681136543015,0.9383483883706008,0.9318429122564051,0.9203389830508475,0.8993805784519339,0.902501821714841,0.9044878048780488,0.9046903041179609,0.9287038428778996,0.9312015988008994,0.9303301203615841,0.9291346441760655,0.9290892839408085,,,,,,,
T18,0.9365609348914858,0.9326685753776286,0.9348564675759515,0.9350394665882238,0.935609228196173,0.9359358867200944,0.9306364084854465,0.9220117699421394,0.9002520356727414,0.902262180974478,0.9046533068077054,0.9049323017408124,0.9305334394904459,0.9288694615537453,0.9305948305799474,0.9292778688931962,0.9286777105445888,0.9294234592445328,,,,,,
T19,0.9290190934266142,0.9271051733385343,0.9285749015413041,0.9281762593419393,0.9289362323070188,0.9303117249428585,0.926198005351496,0.9175343403236056,0.894244535649518,0.9003991636570994,0.9020525059665871,0.901970115161321,0.9261449728725745,0.9248385202583675,0.9290398355681707,0.9284283550735258,0.9253513592374654,0.9268816155309497,0.9222146408031971,,,,,
T20,0.9360232278734482,0.9319018095670145,0.9360845495722194,0.9355517690688584,0.9334674377671611,0.936148868937152,0.9272544080604534,0.9156111704562796,0.8973808929907707,0.8971078699785953,0.9006456779618599,0.9033991937490669,0.9242609582059124,0.9224971993074651,0.9232259380097879,0.9232336610463043,0.9235297102552392,0.9253458096013019,0.9190149784209191,0.9213780469187318,,,,
T21,0.9360027546854247,0.933471625425989,0.9346015474841063,0.9372051886792453,0.9354473386183465,0.9361178151012166,0.928663175575536,0.9179413083553386,0.8968172734805283,0.8985422740524781,0.8983364140480592,0.9016441288063041,0.9277824978759558,0.926702616337128,0.9284465970939232,0.9279688513951979,0.9255171042163882,0.9281371474135354,0.9218516674962668,0.9267926792679267,0.9284859365649312,,,
T22,0.9353452485594297,0.9327582826896686,0.9356810956224015,0.935653699912255,0.9351806521100559,0.935928788026998,0.9302941176470588,0.9221680697090533,0.8993482983345402,0.9031203423241502,0.9046287367405978,0.9058347775852109,0.928716299777393,0.9297725024727992,0.9308219515802968,0.9289996531734628,0.9282799980337216,0.9273693534100974,0.9228278467350243,0.9267931238885596,0.929376445691225,0.9310650887573965,,
T23,0.9404643778527486,0.9356445507073122,0.9402442063294294,0.940354008627101,0.9381684325722529,0.9401200575482462,0.9342295245207867,0.9230072919285894,0.9011476136531547,0.9037102473498233,0.9034794574405347,0.9054014312322322,0.929721002976641,0.930148353029922,0.9326477112321032,0.9301015790003018,0.9276933112549551,0.9292422035855974,0.927093793934525,0.926905132192846,0.929892257579554,0.9308441232560474,0.9290018075918859,
