,D01_test,D02_test,D03_test,D04_test,D05_test,D06_test,D07_test,D08_test,D09_test,D10_test,D11_test,D12_test,D13_test,D14_test,D15_test,D16_test,D17_test,D18_test,D19_test,D20_test,D21_test,D22_test,D23_test,D24_test
T1,0.9617263031994419,,,,,,,,,,,,,,,,,,,,,,,
T2,0.9598132233868164,0.9497307001795332,,,,,,,,,,,,,,,,,,,,,,
T3,0.9579624134520277,0.9506975820465716,0.9562930991715037,,,,,,,,,,,,,,,,,,,,,
T4,0.9584323040380047,0.9517809306478817,0.9572327667376976,0.956483082242529,,,,,,,,,,,,,,,,,,,,
T5,0.9592061742006616,0.9531430872212995,0.9584989184566628,0.9585253456221198,0.9563209157545939,,,,,,,,,,,,,,,,,,,
T6,0.9600677999900294,0.9551,0.9606629392971247,0.959932392125671,0.9588399441897548,0.9598004987531172,,,,,,,,,,,,,,,,,,
T7,0.9599561162918266,0.9565391347836959,0.9617360937889748,0.9623410174880763,0.9603107414969374,0.9619811649808162,0.9216699390306913,,,,,,,,,,,,,,,,,
T8,0.9608988764044943,0.9565391347836959,0.962165395543592,0.9631212723658051,0.9619004930524429,0.9629592751169969,0.9272156782058536,0.863382041392797,,,,,,,,,,,,,,,,
T9,0.961328163833383,0.9569287457053229,0.9628047872076277,0.9633657981905374,0.9619637986610464,0.9625223081499108,0.9372270187912646,0.8930658663718212,0.8847478860006264,,,,,,,,,,,,,,,
T10,0.9601712635666634,0.9558977425624159,0.9614255139117017,0.9623352165725048,0.9611795075456712,0.9605204350201122,0.9564610243878111,0.9429317793630061,0.9353353353353353,0.9364381371177294,,,,,,,,,,,,,,
T11,0.9599437807449052,0.9557264184129856,0.9625539604457384,0.9614711908450352,0.9615692554043235,0.9613978871476493,0.9560076159935865,0.9489425981873112,0.9460921843687374,0.9456913827655311,0.9454673155069483,,,,,,,,,,,,,
T12,0.95793402602643,0.9550431404208083,0.9612551710220967,0.9607961399276237,0.9600964921097598,0.9599516397158834,0.9562679281364803,0.949891287859635,0.9466095286110411,0.948497205860142,0.9493301098015513,0.9497133661872674,,,,,,,,,,,,
T13,0.9581339712918661,0.955542264752791,0.9617704231670239,0.9621621621621622,0.9609460399483255,0.9618404054456922,0.9585322195704057,0.9533957379008166,0.9493137789228558,0.9503391592810814,0.9514226231783484,0.952116585704372,0.9600921335937109,,,,,,,,,,,
T14,0.9589505711008031,0.9569989025241944,0.9622397130616718,0.9630623912503107,0.9613336650908186,0.9634158465056168,0.9596421471172962,0.9544911372236606,0.9496160515234084,0.9518060366155369,0.9523290926191773,0.9534526347097606,0.9624330948927017,0.959832134292566,,,,,,,,,,
T15,0.9595214356929213,0.9575062344139651,0.9620732618988288,0.9628378378378378,0.9612341378452351,0.9628930505190999,0.9605563835072032,0.9553025406453538,0.9497256414059024,0.9516948734395816,0.9515244354400356,0.9521644593793239,0.9633366633366633,0.9603792415169661,0.9651226429175581,,,,,,,,,
T16,0.9587623687779396,0.9583018962828832,0.9618435585902199,0.9632595855440985,0.9612278677835181,0.9621583742116327,0.9613458842379331,0.9553929430633521,0.951195219123506,0.9529827354594756,0.9517646473194286,0.9527316150860782,0.9631864815932408,0.9603581849280611,0.9655897821187077,0.9630821848908561,,,,,,,,
