config,seed,aa_f1,bwt,fwt,forgetting,degrad
FULL (DRC-CL),42,0.9439,0.0026,0.4403,0.0013,-0.0017
FULL - SER,42,0.9436,0.0022,0.44,0.0017,-0.0012
FULL - EWC,42,0.944,0.0038,0.4402,0.0008,-0.0022
FULL - ADD,42,0.947,0.0017,0.4426,0.0023,-0.0039
FULL (DRC-CL),123,0.9459,0.0013,0.4425,0.0026,-0.0009
FULL - SER,123,0.9468,0.0027,0.4429,0.0009,-0.0021
FULL - EWC,123,0.9473,0.002,0.4436,0.002,-0.0038
FULL - ADD,123,0.949,-0.0009,0.4454,0.004,-0.0014
FULL (DRC-CL),456,0.9481,0.0002,0.444,0.0033,0.0056
FULL - SER,456,0.9475,-0.0006,0.4435,0.0047,0.0062
FULL - EWC,456,0.9481,0.0004,0.4441,0.0032,0.0032
FULL - ADD,456,0.9494,0.0012,0.4457,0.0026,0.0035
FULL (DRC-CL),789,0.9471,-0.0001,0.4433,0.0035,0.0025
FULL - SER,789,0.9474,0.0003,0.4438,0.0032,0.0026
FULL - EWC,789,0.9478,0.0025,0.4444,0.0017,-0.0003
FULL - ADD,789,0.9486,0.0011,0.4451,0.0022,0.0026
FULL (DRC-CL),2024,0.9447,-0.0013,0.4414,0.0041,0.0092
FULL - SER,2024,0.9463,0.0033,0.4426,0.0004,0.0005
FULL - EWC,2024,0.9467,0.0019,0.4432,0.0014,0.0012
FULL - ADD,2024,0.9475,0.002,0.4437,0.0017,0.0029
FULL (DRC-CL),3141,0.9477,0.0005,0.4435,0.0027,0.0009
FULL - SER,3141,0.9457,-0.0001,0.4415,0.004,0.0034
FULL - EWC,3141,0.9447,0.0026,0.4405,0.0013,0.0036
FULL - ADD,3141,0.9476,-0.0018,0.4438,0.0049,0.0035
FULL (DRC-CL),5926,0.9425,0.0032,0.4381,0.0011,-0.0006
FULL - SER,5926,0.9438,0.0024,0.4405,0.0024,0.0
FULL - EWC,5926,0.9437,0.0032,0.4402,0.0007,-0.0
FULL - ADD,5926,0.9469,0.0015,0.443,0.0024,-0.0003
FULL (DRC-CL),5358,0.9453,0.0014,0.4413,0.0025,-0.0009
FULL - SER,5358,0.9455,0.0029,0.4415,0.0013,-0.0031
FULL - EWC,5358,0.9449,0.0022,0.4407,0.0023,-0.0011
FULL - ADD,5358,0.9463,-0.0002,0.4419,0.0041,-0.0016
FULL (DRC-CL),9793,0.9458,0.0022,0.4416,0.0022,-0.0026
FULL - SER,9793,0.9459,0.0003,0.4418,0.0033,-0.0011
FULL - EWC,9793,0.9456,0.0032,0.4422,0.0014,-0.0029
FULL - ADD,9793,0.9477,0.0,0.444,0.0038,-0.0024
FULL (DRC-CL),2384,0.9457,0.0014,0.4415,0.0019,0.0031
FULL - SER,2384,0.9453,-0.0002,0.4413,0.0037,0.0041
FULL - EWC,2384,0.9462,0.0003,0.4421,0.0032,0.0018
FULL - ADD,2384,0.947,0.0001,0.4433,0.0032,0.0043
