family,type,n_samples,recall,missed
bigviktor,word,5,0.0,5
nymaim2,word,10,0.0,10
gozi,word,9,0.1111,8
qsnatch,char,2097,0.114,1858
pitou,char,7,0.1429,6
darkwatchman,char,246,0.2398,187
bazarbackdoor,char,192,0.2552,143
orchard,char,15,0.6,6
prometei,char,7,0.7143,2
conficker,char,77,0.7532,19
pushdo,char,27,0.7778,6
proslikefan,char,20,0.8,4
padcrypt,char,26,0.8462,4
nymaim,char,35,0.8571,5
virut,char,1358,0.8711,175
locky,char,103,0.8932,11
m0yvtdd,char,12,0.9167,1
cryptolocker,char,154,0.9675,5
necurs,char,942,0.9713,27
qadars,char,42,0.9762,1
flubot,char,279,0.9857,4
qakbot,char,301,0.99,3
tufik,char,157,0.9936,1
murofet,char,1162,0.994,7
monerominer,char,384,1.0,0
grandoreiro,char,9,1.0,0
emotet,char,30,1.0,0
gameover,char,1691,1.0,0
chinad,char,154,1.0,0
murofetweekly,char,25,1.0,0
dyre,char,154,1.0,0
bamital,char,16,1.0,0
sphinx,char,16,1.0,0
ranbyus,char,72,1.0,0
tinynuke,char,20,1.0,0
symmi,char,23,1.0,0
wd,char,6,1.0,0
zloader,char,75,1.0,0
