method,aa_f1_full,aa_f1_2019on,d_aa_f1,forg_full,forg_2019on,d_forg
cnn__lora__ser,0.9498,0.9483,-0.0015,0.002,0.001,-0.001
cnn__lora__ser__ewc,0.9482,0.9463,-0.0019,0.004,0.0029,-0.0012
cnn__lora_update,0.9483,0.9464,-0.0019,0.002,0.001,-0.001
distilbert_finetune,0.9731,0.9727,-0.0005,0.0032,0.0024,-0.0008
distilbert_static,0.88,0.8614,-0.0185,0.0,0.0,0.0
drc-cl,0.9472,0.9456,-0.0016,0.0009,0.0005,-0.0004
drc_cl_distilbert,0.9588,0.9599,0.0011,0.0003,0.0003,0.0
ewc-only,0.9617,0.9615,-0.0002,0.0032,0.0027,-0.0005
gdumb,0.9322,0.9281,-0.0041,0.01,0.0082,-0.0018
icarl,0.9492,0.9478,-0.0014,0.0006,0.0005,-0.0002
static-cnn,0.8661,0.8483,-0.0178,0.0,0.0,0.0
sw-retrain,0.949,0.947,-0.002,0.0103,0.0088,-0.0015
