aa_f1,bwt,fwt,forgetting,degrad,f1_old,f1_first,f1_last,aa_f1_char,aa_f1_word,method,time_s,param,value
0.945,-0.0018,0.0,0.0048,0.023,0.9511,0.9617,0.9387,0.9461,0.0087,DRC-CL (rank=4),307.3,rank,4.0
0.9448,-0.0016,0.0,0.0059,0.0215,0.9485,0.9617,0.9403,0.9461,0.0097,DRC-CL (rank=8),306.5,rank,8.0
0.9448,-0.0005,0.0,0.005,0.0206,0.9516,0.9617,0.9411,0.947,0.0172,DRC-CL (rank=16),309.9,rank,16.0
0.945,-0.0006,0.0,0.0044,0.0221,0.9522,0.9617,0.9397,0.9473,0.0127,DRC-CL (lambda=0.0),297.1,lambda,0.0
0.9444,-0.0008,0.0,0.0047,0.0222,0.9515,0.9617,0.9395,0.9464,0.0167,DRC-CL (lambda=0.1),311.2,lambda,0.1
0.9449,-0.0015,0.0,0.0059,0.0206,0.9495,0.9617,0.9411,0.9462,0.0127,DRC-CL (lambda=0.4),306.0,lambda,0.4
0.9471,-0.0016,0.0,0.0067,0.0173,0.9498,0.9617,0.9444,0.9484,0.0102,DRC-CL (lambda=1.0),317.2,lambda,1.0
0.9454,-0.0018,0.0,0.0054,0.0206,0.9488,0.9617,0.9412,0.9463,0.0163,DRC-CL (buffer=500),302.1,buffer,500.0
0.9456,-0.0036,0.0,0.0069,0.0206,0.9472,0.9617,0.9411,0.9447,0.0211,DRC-CL (buffer=1000),301.7,buffer,1000.0
0.9452,-0.0017,0.0,0.0057,0.019,0.9485,0.9617,0.9427,0.9463,0.017,DRC-CL (buffer=5000),304.7,buffer,5000.0
0.9453,-0.003,0.0,0.0069,0.0191,0.9468,0.9617,0.9426,0.9453,0.0116,DRC-CL (buffer=10000),306.0,buffer,10000.0
