,D01_test,D02_test,D03_test,D04_test,D05_test,D06_test,D07_test,D08_test,D09_test,D10_test,D11_test,D12_test,D13_test,D14_test,D15_test,D16_test,D17_test,D18_test,D19_test,D20_test,D21_test,D22_test,D23_test,D24_test
T1,0.9617263031994419,,,,,,,,,,,,,,,,,,,,,,,
T2,0.9617263031994419,0.9500701824744335,,,,,,,,,,,,,,,,,,,,,,
T3,0.9617263031994419,0.9500701824744335,0.9546345139412208,,,,,,,,,,,,,,,,,,,,,
T4,0.9617263031994419,0.9500701824744335,0.9546345139412208,0.9542339818936628,,,,,,,,,,,,,,,,,,,,
T5,0.9617263031994419,0.9500701824744335,0.9546345139412208,0.9542339818936628,0.9528008818518889,,,,,,,,,,,,,,,,,,,
T6,0.9617263031994419,0.9500701824744335,0.9546345139412208,0.9542339818936628,0.9528008818518889,0.9555822328931572,,,,,,,,,,,,,,,,,,
T7,0.9617263031994419,0.9500701824744335,0.9546345139412208,0.9542339818936628,0.9528008818518889,0.9555822328931572,0.9100650195058517,,,,,,,,,,,,,,,,,
T8,0.9617263031994419,0.9500701824744335,0.9546345139412208,0.9542339818936628,0.9528008818518889,0.9555822328931572,0.9100650195058517,0.8319678983447584,,,,,,,,,,,,,,,,
T9,0.9617263031994419,0.9500701824744335,0.9546345139412208,0.9542339818936628,0.9528008818518889,0.9555822328931572,0.9100650195058517,0.8319678983447584,0.8268742409186265,,,,,,,,,,,,,,,
T10,0.9617263031994419,0.9500701824744335,0.9546345139412208,0.9542339818936628,0.9528008818518889,0.9555822328931572,0.9100650195058517,0.8319678983447584,0.8268742409186265,0.8218161683277962,,,,,,,,,,,,,,
T11,0.9617263031994419,0.9500701824744335,0.9546345139412208,0.9542339818936628,0.9528008818518889,0.9555822328931572,0.9100650195058517,0.8319678983447584,0.8268742409186265,0.8218161683277962,0.8233857087335518,,,,,,,,,,,,,
T12,0.9617263031994419,0.9500701824744335,0.9546345139412208,0.9542339818936628,0.9528008818518889,0.9555822328931572,0.9100650195058517,0.8319678983447584,0.8268742409186265,0.8218161683277962,0.8233857087335518,0.8260629486471562,,,,,,,,,,,,
