,D01_test,D02_test,D03_test,D04_test,D05_test,D06_test,D07_test,D08_test,D09_test,D10_test,D11_test,D12_test,D13_test,D14_test,D15_test,D16_test,D17_test,D18_test,D19_test,D20_test,D21_test,D22_test,D23_test,D24_test
T1,0.9617263031994419,,,,,,,,,,,,,,,,,,,,,,,
T2,0.9603541759936328,0.9576624925462135,,,,,,,,,,,,,,,,,,,,,,
T3,0.960207439912237,0.9574064837905237,0.9622726140044854,,,,,,,,,,,,,,,,,,,,,
T4,0.9533958800734245,0.9516227801592162,0.9576232385409778,0.9549567869852568,,,,,,,,,,,,,,,,,,,,
T5,0.9522977279736815,0.9478877582485353,0.9523270763692466,0.95165420465021,0.951579811243332,,,,,,,,,,,,,,,,,,,
T6,0.9615442166691606,0.9574542371190583,0.9619218500797448,0.9612118202135584,0.9611631149173472,0.9626650779465793,,,,,,,,,,,,,,,,,,
T7,0.9487788845628761,0.9458312278928752,0.9514964922020895,0.9513791020736864,0.9501264542235711,0.9506359781950333,0.9466761104927653,,,,,,,,,,,,,,,,,
T8,0.9374454764714938,0.936975649682832,0.9395301327885598,0.9397159497292327,0.9400888707288422,0.941104544528225,0.9391171217147232,0.937155119558553,,,,,,,,,,,,,,,,
T9,0.9417823781873265,0.9404233870967742,0.9435711406690851,0.9458088493797399,0.9455276381909548,0.9430411593036128,0.9443160116594632,0.942239172981382,0.9398567780059092,,,,,,,,,,,,,,,
T10,0.9378929612022696,0.9356161574738568,0.9376405643017788,0.938435600061309,0.9396432769458782,0.9400357233988262,0.9417401498547326,0.9362308514428215,0.9386365945341867,0.9428933367114264,,,,,,,,,,,,,,
T11,0.9416556358822931,0.9396644055694395,0.9429851354103034,0.9434153768079168,0.9452791878172588,0.9443766524303437,0.941033187861565,0.9392877102067774,0.9387424755931003,0.9391919191919192,0.9409269918206604,,,,,,,,,,,,,
T12,0.9439661682525299,0.9425032725808076,0.9452591402169546,0.9467877024926025,0.9486832204665162,0.9464500601684718,0.9432752054519944,0.9437077808356267,0.94315348558891,0.9439880507841673,0.944051062132243,0.9437272591337288,,,,,,,,,,,,
T13,0.9425355450236966,0.9406876082117239,0.944526700227026,0.9474930911962101,0.94634483439459,0.9467823001872475,0.9453847667781933,0.9428289797930015,0.9310294475541494,0.9318985991953855,0.9350548490437821,0.9323687915715881,0.9487077928507773,,,,,,,,,,,
T14,0.9394459426329983,0.9362536136018423,0.9407733724914341,0.9446642246642246,0.9408026592364472,0.9421124560718469,0.9418304159149642,0.9374210475172481,0.9271879655885039,0.9281396910678308,0.927021317457269,0.9276460992227233,0.9479831190499558,0.9463386000097833,,,,,,,,,,
T15,0.9433049438088998,0.9444444444444444,0.944200816573416,0.9446286805346197,0.9466378313131821,0.9461047767341403,0.94658783445235,0.9445086124642194,0.930746002673135,0.9326619273301737,0.9333860446728602,0.9338348097194041,0.9496373892022563,0.9492189462052338,0.9526490399115312,,,,,,,,,
T16,0.9465449804432855,0.9446868261371044,0.9466007293071582,0.9483446350219386,0.9479265669551298,0.9483713273806554,0.9478304239401496,0.9429042409710775,0.9280949578183245,0.9293512851897184,0.9278855575151872,0.9311240747095446,0.951783653604937,0.9498675463587745,0.9529623698959168,0.9529570564415337,,,,,,,,
T17,0.9414100279969458,0.9387692777523285,0.9427917620137299,0.9443401491704297,0.943206106870229,0.9445797807551766,0.9410212161201909,0.9382025329332181,0.9272250781171253,0.9311728704725595,0.9306532663316583,0.9299152159735112,0.9447564586949863,0.9432425553575974,0.9483811850946854,0.9467039959277169,0.9446055241873951,,,,,,,
T18,0.9444168241026151,0.9440159243592934,0.9487192240736135,0.9467267951831112,0.9486275872338313,0.9501314940703617,0.9460655167271462,0.9385597446638739,0.926422225494527,0.9284452296819788,0.928476756172991,0.9284873454973513,0.9462085545427227,0.9463794912797961,0.9501495513459621,0.9475943302056299,0.9476361460203471,0.9463473173658683,,,,,,
T19,0.9411300660684351,0.9401153334319089,0.945609983786174,0.9460960149378409,0.944800394282898,0.9453186467348544,0.9432271406765473,0.9399606299212598,0.9269215838509317,0.9285471743875818,0.9283878787878788,0.9251404222351346,0.9470457354758962,0.9458380562811098,0.9480173604261195,0.9471500543317198,0.9465227463157376,0.9460704204427277,0.9461083743842365,,,,,
T20,0.9349848383615151,0.9352680868580838,0.9386537769321747,0.9376026272577996,0.9369146856025522,0.9386244474144135,0.9352762473611039,0.9295367791189518,0.9236734693877551,0.9241836734693878,0.9263286251397216,0.9263575754491322,0.9383773740710157,0.9368719402215924,0.940084562235743,0.9387944358578053,0.9399639268229838,0.9400227108495922,0.9380430870481773,0.9402562651160398,,,,
T21,0.9425332871355739,0.9417244796828543,0.945646803043779,0.946962962962963,0.9454401817014764,0.9465882701714512,0.9440331655315368,0.9419335676451661,0.9289963913001072,0.9291476333948877,0.9308931185944364,0.9300214717938707,0.947530710697767,0.9470293840741292,0.9507335448057097,0.9490401741539679,0.9482280736487824,0.9476247266944942,0.945481554840307,0.9468048187992663,0.9499109087309444,,,
